GLOBAL CALL COUNT,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,DEVICE ID,DEVICE ARCH,OP NAME,CORE COUNT,AVAILABLE WORKER CORE COUNT,DEVICE TRACE FIRMWARE DURATION [ns],DEVICE TRACE KERNEL DURATION [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE FW DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,DEVICE KERNEL DURATION [ns],DEVICE KERNEL START CYCLE,DEVICE KERNEL END CYCLE,DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DM START CYCLE,DEVICE KERNEL DM END CYCLE,DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns]
1027,,,3,blackhole,,80,110,,,327,5524,12135338787596,12135338795053,5030,12135338788108,12135338794898,4913,12135338788265,12135338794898,4836,4144,4167,223,536,,0,0
2051,,,3,blackhole,,80,110,,,177,5674,12135339250432,12135339258092,5099,12135339251064,12135339257948,5096,12135339251069,12135339257948,5049,4110,4133,261,535,,337884,337934
3075,,,3,blackhole,,108,110,,,464,905576,12135457297275,12135458519802,896959,12135457308762,12135458519656,896955,12135457308767,12135458519656,896950,893179,893699,893578,893942,,87445094,87445069
4099,,,3,blackhole,,108,110,,,277,889050,12135564160190,12135565360407,880419,12135564171695,12135565360261,880419,12135564171695,12135565360261,880419,876636,877156,877036,877404,,78260747,78260747
5123,,,3,blackhole,,109,110,,,436,872694,12135673261469,12135674439606,871159,12135673263393,12135674439458,871157,12135673263396,12135674439458,871157,839041,855468,855348,855730,,79928222,79928245
6147,,,3,blackhole,,105,110,,,281,573241,12135764412510,12135765186386,565948,12135764422207,12135765186237,565947,12135764422209,12135765186237,565937,562776,563198,563079,563447,,66653871,66653929
7171,,,3,blackhole,,80,110,,,184,55590,12135780713912,12135780788959,54996,12135780714566,12135780788810,54987,12135780714577,12135780788810,54944,40864,50710,50610,50937,,11502559,11502389
8195,,,3,blackhole,,80,110,,,170,54711,12135786210557,12135786284417,54118,12135786211211,12135786284270,54117,12135786211212,12135786284270,54072,41793,49096,49010,49338,,4016610,4016591
9219,,,3,blackhole,,99,110,,,301,331208,12135834890014,12135835337145,320243,12135834904675,12135835337003,320243,12135834904675,12135835337003,320243,317882,318112,318006,318379,,36015119,36015119
10243,,,3,blackhole,,1,110,,,99,11007,12135842327829,12135842342688,10463,12135842328414,12135842342539,10456,12135842328424,12135842342539,10364,9199,9235,135,9346,,5178841,5179051
11267,,,3,blackhole,,1,110,,,88,11028,12135842645783,12135842660671,10480,12135842646377,12135842660525,10474,12135842646385,12135842660525,10397,9196,9243,113,9353,,225065,225070
12291,,,3,blackhole,,86,110,,,228,26980,12135848639191,12135848675614,25537,12135848640993,12135848675468,25537,12135848640993,12135848675468,25536,24201,24256,22907,24447,,4429970,4429970
13315,,,3,blackhole,,86,110,,,205,26694,12135849228273,12135849264310,25241,12135849230085,12135849264161,25237,12135849230091,12135849264161,25234,23930,23996,22775,24173,,410820,410831
14339,,,3,blackhole,,102,110,,,243,655216,12139658360495,12139659245036,647130,12139658371264,12139659244889,647130,12139658371264,12139659244889,647127,643797,644210,644099,644472,,2821562432,2821562432
15363,,,3,blackhole,,110,110,,,247,848534,12139663623908,12139664769429,847946,12139663624553,12139664769280,847946,12139663624553,12139664769280,847937,847631,,,,,3244196,3244196
16387,,,3,blackhole,,102,110,,,258,655596,12139680072013,12139680957067,647527,12139680082758,12139680956919,647526,12139680082759,12139680956919,647521,644143,644570,644441,644827,,11343323,11343319
17411,,,3,blackhole,,99,110,,,256,332183,12139699870816,12139700319263,322250,12139699884077,12139700319115,322247,12139699884081,12139700319115,322247,319915,320153,320054,320407,,14020101,14020102
18435,,,3,blackhole,,80,110,,,178,55019,12139702143865,12139702218141,54440,12139702144499,12139702217993,54427,12139702144516,12139702217993,54386,41390,50393,50292,50620,,1352136,1352139
19459,,,3,blackhole,,80,110,,,169,54861,12139703271626,12139703345689,54273,12139703272271,12139703345540,54273,12139703272271,12139703345540,54227,42143,49501,49384,49718,,780942,780942
20483,,,3,blackhole,,99,110,,,310,330817,12139710841173,12139711287776,320939,12139710854362,12139711287629,320931,12139710854372,12139711287629,320930,318596,318841,318736,319090,,5562099,5562096
21507,,,3,blackhole,,99,110,,,261,332301,12139745579796,12139746028402,321328,12139745594462,12139746028255,321318,12139745594476,12139746028255,321316,319064,319294,319203,319549,,25412457,25412497
22531,,,3,blackhole,,110,110,,,164,339410,12139751034505,12139751492709,338816,12139751035158,12139751492560,338816,12139751035158,12139751492560,338815,338505,,,,,3708814,3708814
23555,,,3,blackhole,,99,110,,,310,332784,12139758660839,12139759110098,321811,12139758675507,12139759109952,321800,12139758675522,12139759109952,321793,319543,319781,319690,320029,,5320700,5320713
24579,,,3,blackhole,,80,110,,,213,14867,12139825710607,12139825730678,14279,12139825711240,12139825730516,14251,12139825711277,12139825730516,14184,13717,13760,256,541,,49335951,49333930
