Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
17.99,BinaryNgDeviceOperation (in0:dram_interleaved),5606.95,183,Compute,,,,,
16.71,MatmulDeviceOperation (in0:dram_interleaved),5209.82,12,Compute,8.37,8.40,8.39,0.01,8.39
12.34,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),3846.07,23,TM,,,,,
9.91,PermuteDeviceOperation (in0:dram_interleaved),3088.20,36,TM,,,,,
9.70,MatmulDeviceOperation (in0:width_sharded),3024.87,42,Compute,48.16,76.84,61.68,9.34,66.86
8.12,SliceDeviceOperation (in0:dram_interleaved),2532.71,76,TM,,,,,
7.34,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),2286.60,41,TM,,,,,
2.83,ReshapeViewDeviceOperation (in0:dram_interleaved),880.64,64,TM,,,,,
2.34,TypecastDeviceOperation (in0:dram_interleaved),728.71,33,TM,,,,,
1.70,UnaryDeviceOperation (in0:dram_interleaved),530.93,49,Compute,,,,,
1.44,FillPadDeviceOperation (in0:dram_interleaved),447.33,18,TM,,,,,
1.33,CopyDeviceOperation (in0:dram_interleaved),414.25,14,DM,,,,,
1.22,ReduceDeviceOperation (in0:dram_interleaved),381.59,20,Compute,,,,,
1.07,ReduceScatterMinimalDirectDeviceOperation (in0:l1_interleaved),333.61,16,Other,,,,,
0.91,TransposeDeviceOperation (in0:dram_interleaved),282.94,32,TM,,,,,
0.90,TopkLargeIndicesDeviceOperation (in0:dram_interleaved),280.04,1,Other,,,,,
0.69,AllGatherDeviceOperation (in0:dram_interleaved),214.22,18,DM,,,,,
0.61,RepeatInterleaveCodegenDeviceOperation (in0:dram_interleaved),188.67,12,Other,,,,,
0.57,LayerNormDeviceOperation (in0:width_sharded),178.22,17,Compute,,,,,
0.52,LayerNormDeviceOperation (in0:dram_interleaved),163.24,10,Compute,,,,,
0.47,BinaryNgDeviceOperation (in0:width_sharded),147.44,26,Compute,,,,,
0.18,ConcatDeviceOperation (in0:dram_interleaved),55.59,15,TM,,,,,
0.17,ShardedToInterleavedDeviceOperation (in0:width_sharded),52.31,24,DM,,,,,
0.12,SdpaDecodeDeviceOperation (in0:height_sharded),38.96,2,Compute,,,,,
0.12,InterleavedToShardedDeviceOperation (in0:dram_interleaved),38.70,21,DM,,,,,
0.09,PadDeviceOperation (in0:dram_interleaved),27.56,1,TM,,,,,
0.09,SamplingDeviceOperation (in0:dram_interleaved),27.46,1,Other,,,,,
0.08,EmbeddingsDeviceOperation (in0:dram_interleaved),26.24,9,Compute,,,,,
0.08,TopkRoutePrepDeviceOperation (in0:dram_interleaved),26.15,1,Other,,,,,
0.07,TopkRouteFinishDeviceOperation (in0:dram_interleaved),21.02,1,Other,,,,,
0.05,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),17.14,4,DM,,,,,
0.05,ManualSeedDeviceOperation (in0:dram_interleaved),16.95,1,Other,,,,,
0.05,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),16.53,2,TM,,,,,
0.03,ShardedToInterleavedDeviceOperation (in0:height_sharded),10.54,4,DM,,,,,
0.03,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),9.84,2,TM,,,,,
0.02,SliceDeviceOperation (in0:width_sharded),6.95,4,TM,,,,,
0.02,RepeatDeviceOperation (in0:dram_interleaved),6.17,4,TM,,,,,
0.01,UntilizeDeviceOperation (in0:dram_interleaved),4.41,1,TM,,,,,
0.01,ReshardDeviceOperation (in0:width_sharded),2.72,2,DM,,,,,
