Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_DECODE'.
Using operations until 'PERF_DECODE_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID   Total %  Bound  OP Code                                  Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
169    1.4 %         LayerNormDeviceOperation                       2        85 μs                    1                                                 BF16, BF16 => BF16
170    0.0 %         TypecastDeviceOperation                        2         1 μs          2 μs      1                                                    UINT32 => INT32
171    5.4 %   DRAM  MatmulDeviceOperation 32 x 5120 x 12288        2       332 μs          1 μs     96  383 GB/s  74.8 %  12.1 TFLOPs    4.6 %  HiFi2 BF16 x BF16 => BF16
172    0.1 %         SliceDeviceOperation                           2         3 μs          1 μs    110                                                       BF16 => BF16
173    0.1 %         SliceDeviceOperation                           2         3 μs          1 μs    110                                                       BF16 => BF16
174    1.2 %   SLOW  MatmulDeviceOperation 32 x 5120 x 1024         2        73 μs          1 μs     32  148 GB/s  28.9 %   4.6 TFLOPs    5.2 %  HiFi2 BF16 x BF16 => BF16
175    1.2 %   SLOW  MatmulDeviceOperation 32 x 5120 x 1024         2        73 μs          1 μs     32  149 GB/s  29.1 %   4.6 TFLOPs    5.2 %  HiFi2 BF16 x BF16 => BF16
176    0.1 %         ConcatDeviceOperation                          2         3 μs          1 μs    110                                                 BF16, BF16 => BF16
177    0.3 %         NLPCreateQKVHeadsDecodeDeviceOperation         2        15 μs          1 μs      1                                                       BF16 => BF16
178    0.0 %         ShardedToInterleavedDeviceOperation            2         1 μs          2 μs      1                                                       BF16 => BF16
179    0.1 %         LayerNormDeviceOperation                       2         6 μs          2 μs      1                                                 BF16, BF16 => BF16
180    0.0 %         ShardedToInterleavedDeviceOperation            2         1 μs          2 μs      1                                                       BF16 => BF16
181    0.1 %         LayerNormDeviceOperation                       2         6 μs          2 μs      1                                                 BF16, BF16 => BF16
182    0.0 %         SliceDeviceOperation                           2         2 μs          1 μs      2                                                       BF16 => BF16
183    0.0 %         SliceDeviceOperation                           2         2 μs          1 μs      6                                                       BF16 => BF16
184    0.0 %         EmbeddingsDeviceOperation                      2         1 μs          2 μs      1                                               UINT32, BF16 => BF16
185    0.1 %         TilizeWithValPaddingDeviceOperation            2         3 μs          2 μs      1                                                       BF16 => BF16
186    0.0 %         EmbeddingsDeviceOperation                      2         1 μs          2 μs      1                                               UINT32, BF16 => BF16
187    0.1 %         TilizeWithValPaddingDeviceOperation            2         3 μs          1 μs      1                                                       BF16 => BF16
188    0.0 %         TransposeDeviceOperation                       2         2 μs          1 μs    110                                                       BF16 => BF16
189    0.0 %         TransposeDeviceOperation                       2         2 μs          1 μs    110                                                       BF16 => BF16
190    0.0 %         UntilizeWithUnpaddingDeviceOperation           2         1 μs          2 μs      1                                                       BF16 => BF16
191    0.0 %         RepeatDeviceOperation                          2         3 μs          1 μs    110                                                       BF16 => BF16
192    0.1 %         TilizeWithValPaddingDeviceOperation            2         3 μs          2 μs      1                                                       BF16 => BF16
193    0.0 %         UntilizeWithUnpaddingDeviceOperation           2         1 μs          1 μs      1                                                       BF16 => BF16
194    0.0 %         RepeatDeviceOperation                          2         2 μs          1 μs    110                                                       BF16 => BF16
195    0.1 %         TilizeWithValPaddingDeviceOperation            2         2 μs          1 μs      1                                                       BF16 => BF16
196    0.1 %         BinaryNgDeviceOperation                        2         3 μs          1 μs    110                                                 BF16, BF16 => BF16
197    0.0 %         SliceDeviceOperation                           2         1 μs          2 μs      1                                                       BF16 => BF16
198    0.0 %         UnaryDeviceOperation                           2         2 μs          1 μs    110                                                       BF16 => BF16
199    0.0 %         SliceDeviceOperation                           2         1 μs          2 μs      1                                                       BF16 => BF16
200    0.0 %         ConcatDeviceOperation                          2         2 μs          1 μs      2                                                 BF16, BF16 => BF16
201    0.1 %         BinaryNgDeviceOperation                        2         3 μs          1 μs    110                                                 BF16, BF16 => BF16
202    0.0 %         BinaryNgDeviceOperation                        2         2 μs          1 μs    110                                                 BF16, BF16 => BF16
203    0.0 %         ConcatDeviceOperation                          2         2 μs          1 μs      8                                                 BF16, BF16 => BF16
204    0.0 %         InterleavedToShardedDeviceOperation            2         1 μs          2 μs      1                                                       BF16 => BF16
205    0.0 %         SliceDeviceOperation                           2         2 μs          1 μs      2                                                       BF16 => BF16
206    0.0 %         SliceDeviceOperation                           2         2 μs          1 μs      6                                                       BF16 => BF16
207    0.0 %         EmbeddingsDeviceOperation                      2         1 μs          2 μs      1                                               UINT32, BF16 => BF16
208    0.1 %         TilizeWithValPaddingDeviceOperation            2         3 μs          1 μs      1                                                       BF16 => BF16
209    0.0 %         EmbeddingsDeviceOperation                      2         1 μs          1 μs      1                                               UINT32, BF16 => BF16
210    0.1 %         TilizeWithValPaddingDeviceOperation            2         3 μs          1 μs      1                                                       BF16 => BF16
211    0.0 %         TransposeDeviceOperation                       2         2 μs          1 μs    110                                                       BF16 => BF16
212    0.0 %         TransposeDeviceOperation                       2         2 μs          1 μs    110                                                       BF16 => BF16
213    0.0 %         UntilizeWithUnpaddingDeviceOperation           2         1 μs          1 μs      1                                                       BF16 => BF16
214    0.0 %         RepeatDeviceOperation                          2         2 μs          1 μs    110                                                       BF16 => BF16
215    0.1 %         TilizeWithValPaddingDeviceOperation            2         3 μs          2 μs      1                                                       BF16 => BF16
216    0.0 %         UntilizeWithUnpaddingDeviceOperation           2         1 μs          2 μs      1                                                       BF16 => BF16
217    0.0 %         RepeatDeviceOperation                          2         2 μs          1 μs    110                                                       BF16 => BF16
218    0.1 %         TilizeWithValPaddingDeviceOperation            2         3 μs          1 μs      1                                                       BF16 => BF16
219    0.1 %         BinaryNgDeviceOperation                        2         3 μs          1 μs    110                                                 BF16, BF16 => BF16
220    0.0 %         SliceDeviceOperation                           2         1 μs          2 μs      1                                                       BF16 => BF16
221    0.0 %         UnaryDeviceOperation                           2         2 μs          1 μs    110                                                       BF16 => BF16
222    0.0 %         SliceDeviceOperation                           2         1 μs          2 μs      1                                                       BF16 => BF16
223    0.0 %         ConcatDeviceOperation                          2         2 μs          1 μs      2                                                 BF16, BF16 => BF16
224    0.1 %         BinaryNgDeviceOperation                        2         3 μs          1 μs    110                                                 BF16, BF16 => BF16
225    0.0 %         BinaryNgDeviceOperation                        2         2 μs          1 μs    110                                                 BF16, BF16 => BF16
226    0.0 %         ConcatDeviceOperation                          2         2 μs          1 μs      8                                                 BF16, BF16 => BF16
227    0.0 %         InterleavedToShardedDeviceOperation            2         1 μs          2 μs      1                                                       BF16 => BF16
228    0.1 %         PagedUpdateCacheDeviceOperation                2         6 μs          2 μs      1                                                 BF16, BF16 => BF16
229    0.1 %         PagedUpdateCacheDeviceOperation                2         6 μs          1 μs      1                                                 BF16, BF16 => BF16
230    0.2 %         SdpaDecodeDeviceOperation                      2         9 μs          3 μs    110                                                 BF16, BF16 => BF16
231    0.0 %         InterleavedToShardedDeviceOperation            2         1 μs          1 μs      1                                                       BF16 => BF16
232    0.0 %         NLPConcatHeadsDecodeDeviceOperation            2         2 μs          1 μs     24                                                       BF16 => BF16
233    0.0 %         ShardedToInterleavedDeviceOperation            2         2 μs          1 μs     24                                                       BF16 => BF16
234    0.1 %         UnaryDeviceOperation                           2         4 μs          1 μs    110                                                       BF16 => BF16
235    0.1 %         BinaryNgDeviceOperation                        2         5 μs          1 μs    110                                                 BF16, BF16 => BF16
236    2.7 %   DRAM  MatmulDeviceOperation 32 x 6144 x 5120         2       162 μs          3 μs     80  393 GB/s  76.8 %  12.4 TFLOPs    5.6 %  HiFi2 BF16 x BF16 => BF16
237    0.1 %         BinaryNgDeviceOperation                        2         4 μs          1 μs    110                                                 BF16, BF16 => BF16
238    1.4 %         LayerNormDeviceOperation                       2        85 μs          1 μs      1                                                 BF16, BF16 => BF16
