Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
82.06,MatmulDeviceOperation (in0:dram_interleaved),20259.07,70,Compute,4.05,5.69,4.91,0.63,4.71
7.45,LayerNormDeviceOperation (in0:dram_interleaved),1839.66,40,Compute,,,,,
1.68,ReshapeViewDeviceOperation (in0:dram_interleaved),413.83,40,Other,,,,,
1.53,BinaryNgDeviceOperation (in0:dram_interleaved),377.03,100,Compute,,,,,
1.05,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),258.54,20,DM,,,,,
0.93,SdpaDecodeDeviceOperation (in0:height_sharded),229.10,10,Other,,,,,
0.82,SliceDeviceOperation (in0:dram_interleaved),202.00,100,TM,,,,,
0.66,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),161.86,10,Other,,,,,
0.64,TransposeDeviceOperation (in0:dram_interleaved),158.69,40,TM,,,,,
0.52,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),128.61,40,TM,,,,,
0.51,ConcatDeviceOperation (in0:dram_interleaved),126.75,50,TM,,,,,
0.38,EmbeddingsDeviceOperation (in0:dram_interleaved),93.82,40,Compute,,,,,
0.37,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),91.74,10,TM,,,,,
0.32,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),78.02,40,TM,,,,,
0.27,UnaryDeviceOperation (in0:dram_interleaved),66.18,30,Compute,,,,,
0.26,RepeatDeviceOperation (in0:dram_interleaved),63.73,40,Other,,,,,
0.25,InterleavedToShardedDeviceOperation (in0:dram_interleaved),61.77,30,DM,,,,,
0.20,ShardedToInterleavedDeviceOperation (in0:height_sharded),48.77,20,DM,,,,,
0.07,ShardedToInterleavedDeviceOperation (in0:width_sharded),18.17,10,DM,,,,,
0.04,TypecastDeviceOperation (in0:dram_interleaved),9.37,10,TM,,,,,
