Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
21.48,MatmulDeviceOperation (in0:dram_interleaved),6834.11,4,Compute,8.52,8.53,8.52,0.00,8.52
15.40,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),4899.23,6,TM,,,,,
12.51,PermuteDeviceOperation (in0:dram_interleaved),3981.70,12,TM,,,,,
12.03,BinaryNgDeviceOperation (in0:dram_interleaved),3828.42,32,Compute,,,,,
10.32,SliceDeviceOperation (in0:dram_interleaved),3282.09,16,TM,,,,,
8.61,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),2739.70,6,TM,,,,,
5.14,MatmulDeviceOperation (in0:width_sharded),1633.86,10,Compute,50.97,81.81,70.50,11.07,67.87
2.86,TypecastDeviceOperation (in0:dram_interleaved),910.31,8,TM,,,,,
2.65,ReshapeViewDeviceOperation (in0:dram_interleaved),844.05,14,TM,,,,,
1.77,UnaryDeviceOperation (in0:dram_interleaved),562.06,14,Compute,,,,,
1.66,FillPadDeviceOperation (in0:dram_interleaved),527.80,6,TM,,,,,
1.54,CopyDeviceOperation (in0:dram_interleaved),490.99,4,DM,,,,,
1.27,ReduceDeviceOperation (in0:dram_interleaved),403.63,6,Compute,,,,,
1.01,TransposeDeviceOperation (in0:dram_interleaved),321.69,8,TM,,,,,
0.77,RepeatInterleaveCodegenDeviceOperation (in0:dram_interleaved),245.25,4,Other,,,,,
0.49,LayerNormDeviceOperation (in0:dram_interleaved),157.12,2,Compute,,,,,
0.15,BinaryNgDeviceOperation (in0:width_sharded),46.96,6,Compute,,,,,
0.13,LayerNormDeviceOperation (in0:width_sharded),41.97,4,Compute,,,,,
0.09,ConcatDeviceOperation (in0:dram_interleaved),29.81,2,TM,,,,,
0.04,UntilizeCodegenDeviceOperation (in0:dram_interleaved),13.50,2,Other,,,,,
0.03,ReshardDeviceOperation (in0:width_sharded),9.03,2,DM,,,,,
0.02,ShardedToInterleavedDeviceOperation (in0:width_sharded),7.00,2,DM,,,,,
0.02,InterleavedToShardedDeviceOperation (in0:dram_interleaved),5.61,4,DM,,,,,
