Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
84.07,MatmulDeviceOperation (in0:dram_interleaved),225972.41,79,Compute,1.53,28.11,4.74,4.63,3.46
5.43,BinaryNgDeviceOperation (in0:dram_interleaved),14596.53,87,Compute,,,,,
4.21,SliceDeviceOperation (in0:dram_interleaved),11307.33,96,TM,,,,,
4.00,ConcatDeviceOperation (in0:dram_interleaved),10756.64,43,TM,,,,,
0.97,ReshapeViewDeviceOperation (in0:dram_interleaved),2599.78,52,TM,,,,,
0.71,RepeatCodegenDeviceOperation (in0:dram_interleaved),1896.47,12,Other,,,,,
0.21,TransposeDeviceOperation (in0:dram_interleaved),567.78,40,TM,,,,,
0.14,TypecastDeviceOperation (in0:dram_interleaved),385.44,24,TM,,,,,
0.06,LayerNormDeviceOperation (in0:dram_interleaved),169.12,6,Compute,,,,,
0.04,QkvCausalConv1dSiluOperation (in0:dram_interleaved),120.67,4,Other,,,,,
0.04,UnaryDeviceOperation (in0:dram_interleaved),110.47,24,Compute,,,,,
0.04,CopyDeviceOperation (in0:dram_interleaved),98.95,8,DM,,,,,
0.02,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),61.37,8,TM,,,,,
0.02,RepeatInterleaveCodegenDeviceOperation (in0:dram_interleaved),50.41,8,Other,,,,,
0.02,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),42.56,8,TM,,,,,
0.01,UntilizeCodegenDeviceOperation (in0:dram_interleaved),37.95,8,Other,,,,,
0.01,ReduceDeviceOperation (in0:dram_interleaved),30.63,8,Compute,,,,,
