Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
53.96,MatmulDeviceOperation (in0:width_sharded),1681.34,10,Compute,34.39,55.70,44.77,7.33,43.97
6.92,MatmulDeviceOperation (in0:dram_interleaved),215.74,4,Compute,8.42,8.45,8.44,0.02,8.44
5.98,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),186.26,12,TM,,,,,
5.81,BinaryNgDeviceOperation (in0:dram_interleaved),181.10,32,Compute,,,,,
4.34,PermuteDeviceOperation (in0:dram_interleaved),135.21,12,TM,,,,,
4.23,SliceDeviceOperation (in0:dram_interleaved),131.88,16,TM,,,,,
3.83,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),119.19,10,TM,,,,,
3.66,ReshapeViewDeviceOperation (in0:dram_interleaved),114.01,14,Other,,,,,
2.92,BinaryNgDeviceOperation (in0:width_sharded),91.00,6,Compute,,,,,
1.34,LayerNormDeviceOperation (in0:width_sharded),41.65,4,Compute,,,,,
1.32,UnaryDeviceOperation (in0:dram_interleaved),41.01,14,Compute,,,,,
1.25,FillPadDeviceOperation (in0:dram_interleaved),39.01,6,TM,,,,,
1.07,TypecastDeviceOperation (in0:dram_interleaved),33.30,8,TM,,,,,
0.86,TransposeDeviceOperation (in0:dram_interleaved),26.76,8,TM,,,,,
0.74,ReduceDeviceOperation (in0:dram_interleaved),22.95,6,Compute,,,,,
0.55,CopyDeviceOperation (in0:dram_interleaved),17.24,4,DM,,,,,
0.39,LayerNormDeviceOperation (in0:dram_interleaved),12.04,2,Compute,,,,,
0.38,ConcatDeviceOperation (in0:dram_interleaved),11.89,6,TM,,,,,
0.25,ShardedToInterleavedDeviceOperation (in0:width_sharded),7.71,2,DM,,,,,
0.21,InterleavedToShardedDeviceOperation (in0:dram_interleaved),6.55,4,DM,,,,,
