ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
202,0.003992520544427324,,InterleavedToShardedDeviceOperation,3,1.393,,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,112643.0,
203,0.0377584103749358,,LayerNormDeviceOperation,3,9.653,3.521,8,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,113667.0,
204,0.4613181222026561,SLOW,MatmulDeviceOperation 32 x 5120 x 16480,3,160.345,0.61,12,263.11266331971683,51.38919205463219,33.678420904923755,50.75475758482193,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,True,DEV_0_L1_WIDTH_SHARDED,4,,,114691.0,No output subblock size found • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
205,0.012502063614351753,,ShardedToInterleavedDeviceOperation,3,3.798,0.564,8,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,115715.0,
206,0.012083608481913565,,SliceDeviceOperation,3,3.627,0.589,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,116739.0,
207,0.009243272617213295,,SliceDeviceOperation,3,2.663,0.562,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,117763.0,
208,0.004419574069997799,,SliceDeviceOperation,3,0.889,0.653,2,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,118787.0,
209,0.03883034338542813,,UntilizeDeviceOperation,3,13.018,0.53,103,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,119811.0,
210,0.0075952472668574375,,SliceDeviceOperation,3,2.123,0.527,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,120835.0,
211,0.01362845311468193,,TilizeWithValPaddingDeviceOperation,3,3.422,1.333,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,121859.0,
212,1.3148949391004476,,PermuteDeviceOperation,3,458.246,0.524,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,122883.0,
213,2.3499179140068973,,UntilizeWithUnpaddingDeviceOperation,3,819.316,0.576,109,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,123907.0,
214,4.5166040703646635,,SliceDeviceOperation,3,1575.349,0.505,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,124931.0,
215,1.91606305946878,,TilizeWithValPaddingDeviceOperation,3,667.973,0.546,109,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,125955.0,
