Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
21.55,MatmulDeviceOperation (in0:dram_interleaved),6869.12,4,Compute,8.47,8.50,8.48,0.02,8.48
15.61,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),4974.61,10,TM,,,,,
12.28,PermuteDeviceOperation (in0:dram_interleaved),3915.41,12,TM,,,,,
11.90,BinaryNgDeviceOperation (in0:dram_interleaved),3794.03,32,Compute,,,,,
10.02,SliceDeviceOperation (in0:dram_interleaved),3194.00,16,TM,,,,,
9.24,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),2946.63,10,TM,,,,,
5.66,MatmulDeviceOperation (in0:width_sharded),1803.38,10,Compute,34.40,55.69,45.63,7.27,44.36
2.80,TypecastDeviceOperation (in0:dram_interleaved),891.71,8,TM,,,,,
2.58,ReshapeViewDeviceOperation (in0:dram_interleaved),822.91,14,Other,,,,,
1.87,UnaryDeviceOperation (in0:dram_interleaved),596.13,14,Compute,,,,,
1.60,FillPadDeviceOperation (in0:dram_interleaved),510.35,6,TM,,,,,
1.46,CopyDeviceOperation (in0:dram_interleaved),464.75,4,DM,,,,,
1.21,ReduceDeviceOperation (in0:dram_interleaved),384.17,6,Compute,,,,,
0.99,TransposeDeviceOperation (in0:dram_interleaved),316.01,8,TM,,,,,
0.51,LayerNormDeviceOperation (in0:dram_interleaved),163.75,2,Compute,,,,,
0.29,BinaryNgDeviceOperation (in0:width_sharded),91.04,6,Compute,,,,,
0.18,ConcatDeviceOperation (in0:dram_interleaved),57.69,6,TM,,,,,
0.13,LayerNormDeviceOperation (in0:width_sharded),41.27,4,Compute,,,,,
0.08,UntilizeDeviceOperation (in0:dram_interleaved),26.02,2,TM,,,,,
0.02,ShardedToInterleavedDeviceOperation (in0:width_sharded),7.78,2,DM,,,,,
0.02,InterleavedToShardedDeviceOperation (in0:dram_interleaved),6.12,4,DM,,,,,
