Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
36.88,MatmulDeviceOperation (in0:width_sharded),423.54,3,Compute,41.98,45.33,43.70,1.68,44.18
28.64,MatmulDeviceOperation (in0:l1_interleaved),328.90,1,Compute,5.76,5.76,5.76,,5.76
15.90,LayerNormDeviceOperation (in0:dram_interleaved),182.55,4,Compute,,,,,
2.31,BinaryNgDeviceOperation (in0:dram_interleaved),26.56,9,Compute,,,,,
2.08,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),23.91,8,TM,,,,,
1.70,ReshapeViewDeviceOperation (in0:l1_interleaved),19.49,3,Other,,,,,
1.30,NLPCreateQKVHeadsDecodeDeviceOperation (in0:l1_interleaved),14.98,1,Other,,,,,
1.25,SliceDeviceOperation (in0:l1_interleaved),14.39,7,TM,,,,,
1.05,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),12.10,2,DM,,,,,
0.92,SdpaDecodeDeviceOperation (in0:height_sharded),10.57,1,Other,,,,,
0.90,UnaryDeviceOperation (in0:l1_interleaved),10.37,2,Compute,,,,,
0.90,ShardedToInterleavedDeviceOperation (in0:width_sharded),10.29,5,DM,,,,,
0.81,SliceDeviceOperation (in0:dram_interleaved),9.34,8,TM,,,,,
0.77,RepeatDeviceOperation (in0:dram_interleaved),8.83,4,Other,,,,,
0.75,TransposeDeviceOperation (in0:dram_interleaved),8.57,4,TM,,,,,
0.60,ConcatDeviceOperation (in0:dram_interleaved),6.88,4,TM,,,,,
0.53,InterleavedToShardedDeviceOperation (in0:dram_interleaved),6.12,5,DM,,,,,
0.49,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),5.67,4,TM,,,,,
0.49,BinaryNgDeviceOperation (in0:l1_interleaved),5.61,1,Compute,,,,,
0.36,EmbeddingsDeviceOperation (in0:dram_interleaved),4.12,4,Compute,,,,,
0.36,UnaryDeviceOperation (in0:dram_interleaved),4.11,2,Compute,,,,,
0.25,InterleavedToShardedDeviceOperation (in0:l1_interleaved),2.83,1,DM,,,,,
0.21,ConcatDeviceOperation (in0:l1_interleaved),2.40,1,TM,,,,,
0.18,CopyDeviceOperation (in0:dram_interleaved),2.10,1,DM,,,,,
0.16,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),1.85,1,TM,,,,,
0.12,ShardedToInterleavedDeviceOperation (in0:height_sharded),1.36,2,DM,,,,,
0.08,TypecastDeviceOperation (in0:dram_interleaved),0.90,1,TM,,,,,
