Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
39.90,MatmulDeviceOperation (in0:dram_interleaved),7618.50,3,Compute,1.54,5.55,4.21,2.32,4.30
10.32,BinaryNgDeviceOperation (in0:dram_interleaved),1969.78,14,Compute,,,,,
8.73,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),1667.72,4,TM,,,,,
8.30,SliceDeviceOperation (in0:dram_interleaved),1585.44,4,TM,,,,,
7.74,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),1478.10,4,TM,,,,,
4.91,PermuteDeviceOperation (in0:dram_interleaved),937.99,4,TM,,,,,
3.98,UntilizeWithUnpaddingDeviceOperation (in0:l1_interleaved),760.59,1,TM,,,,,
3.78,MatmulDeviceOperation (in0:width_sharded),721.50,5,Compute,46.60,53.79,51.21,3.02,51.23
3.16,CopyDeviceOperation (in0:dram_interleaved),603.57,2,DM,,,,,
1.75,PermuteDeviceOperation (in0:l1_interleaved),333.24,2,TM,,,,,
1.43,ReshapeViewDeviceOperation (in0:dram_interleaved),272.65,5,Other,,,,,
1.33,FillPadDeviceOperation (in0:dram_interleaved),254.47,3,TM,,,,,
1.02,ReduceDeviceOperation (in0:dram_interleaved),194.80,3,Compute,,,,,
0.91,UnaryDeviceOperation (in0:dram_interleaved),173.77,4,Compute,,,,,
0.84,TransposeDeviceOperation (in0:dram_interleaved),160.02,4,TM,,,,,
0.51,ReshapeViewDeviceOperation (in0:l1_interleaved),97.27,2,Other,,,,,
0.43,LayerNormDeviceOperation (in0:dram_interleaved),83.00,1,Compute,,,,,
0.33,UnaryDeviceOperation (in0:l1_interleaved),62.58,3,Compute,,,,,
0.15,ConcatDeviceOperation (in0:dram_interleaved),29.04,3,TM,,,,,
0.14,BinaryNgDeviceOperation (in0:width_sharded),26.82,3,Compute,,,,,
0.10,LayerNormDeviceOperation (in0:width_sharded),18.38,2,Compute,,,,,
0.07,BinaryNgDeviceOperation (in0:l1_interleaved),12.73,1,Compute,,,,,
0.06,UntilizeDeviceOperation (in0:l1_interleaved),11.43,1,TM,,,,,
0.04,SliceDeviceOperation (in0:l1_interleaved),6.96,4,TM,,,,,
0.04,InterleavedToShardedDeviceOperation (in0:dram_interleaved),6.84,3,DM,,,,,
0.02,TilizeWithValPaddingDeviceOperation (in0:l1_interleaved),3.50,1,TM,,,,,
0.02,ShardedToInterleavedDeviceOperation (in0:width_sharded),3.48,1,DM,,,,,
