ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
9376,0.11827692781613275,,LayerNormDeviceOperation,3,73.658,,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,2400259.0,
9383,0.036855359190256023,,SliceDeviceOperation,0,2.229,20.723,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2401280.0,
9387,0.2756909970379866,SLOW,MatmulDeviceOperation 32 x 5120 x 2560,0,67.402,104.287,8,104.52390136791193,20.4148244859203,12.445636627993235,28.134125045195933,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,False,DEV_0_DRAM_INTERLEAVED,4,1,2,2402304.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=4 and output subblock 1x2 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
9388,0.07824216765007039,SLOW,MatmulDeviceOperation 32 x 5120 x 1536,3,48.13,0.596,8,90.5494286307916,17.685435279451482,10.45743777269894,23.639679571530806,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,False,DEV_0_DRAM_INTERLEAVED,4,1,3,2403331.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=4 and output subblock 1x3 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
9395,0.035538637574013,SLOW,MatmulDeviceOperation 32 x 5120 x 32,0,21.481,0.651,1,19.16335366137517,3.7428425119873374,0.4881411479912481,8.827784071022283,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,False,DEV_0_DRAM_INTERLEAVED,4,1,1,2404352.0,"If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy"
9397,0.036959733464714324,SLOW,MatmulDeviceOperation 32 x 5120 x 32,2,21.562,1.455,1,19.09136443743623,3.7287821166867636,0.4863073926351915,8.794621539264893,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,False,DEV_0_DRAM_INTERLEAVED,4,1,1,2405378.0,"If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • Output subblock 1x1 is small, try out_subblock_h * out_subblock_w >= 2 if possible • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy"
9403,0.004207086139703328,,TransposeDeviceOperation,0,2.036,0.584,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2406400.0,
9406,0.14295742933034652,,UntilizeWithUnpaddingDeviceOperation,1,9.836,79.192,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2407425.0,
9411,0.06960640075719843,,UntilizeWithUnpaddingDeviceOperation,0,9.825,33.523,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2408448.0,
9415,0.01888371488660731,,PermuteDeviceOperation,0,11.13,0.63,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2409472.0,
9419,0.019156693758267444,,PermuteDeviceOperation,0,6.97,4.96,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2410496.0,
9420,0.04142374089539189,,ConcatDeviceOperation,3,2.016,23.781,36,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,2411523.0,
9426,0.05919948271467275,,PermuteDeviceOperation,1,11.842,25.025,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2412545.0,
9430,0.048880881365919476,,TilizeWithValPaddingDeviceOperation,1,9.801,20.64,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2413569.0,
9433,0.058258508486479565,,TilizeWithValPaddingDeviceOperation,2,3.233,33.048,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2414594.0,
9437,0.11818058233201739,,BinaryNgDeviceOperation,2,9.147,64.451,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,2415618.0,
9443,0.05176482285710542,,FillPadDeviceOperation,0,8.036,24.201,80,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2416640.0,
