ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
1248,2.5975215425787725,,LayerNormDeviceOperation,1,73.455,,4,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,318465.0,
1251,4.532499165454927,SLOW,MatmulDeviceOperation 128 x 5120 x 3584,2,127.633,0.541,32,89.34416647732169,17.450032515101892,36.80568881088746,20.80037932834623,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,False,DEV_0_DRAM_INTERLEAVED,2,1,2,319490.0,If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 1x2 look good 🤷 • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
1256,0.2713332352624998,,SliceDeviceOperation,1,7.11,0.563,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,320513.0,
1261,0.32030971523624696,,SliceDeviceOperation,0,8.508,0.55,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,321536.0,
1264,0.38679042451469087,,SliceDeviceOperation,1,10.483,0.455,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,322561.0,
1266,0.9727400802294858,,SliceDeviceOperation,3,1.139,26.369,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,323587.0,
1273,1.1853722636822959,,SliceDeviceOperation,0,1.133,32.388,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,324608.0,
1276,3.1692910044527927,,ReshapeViewDeviceOperation,1,50.598,39.026,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,325633.0,
1279,0.5435505225100853,,TransposeDeviceOperation,2,14.927,0.444,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,326658.0,
1284,0.9315432577244925,,ReshapeViewDeviceOperation,1,17.979,8.364,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,327681.0,
1286,0.9419397090691004,,TransposeDeviceOperation,3,11.422,15.215,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,328707.0,
1290,1.0438178598303753,,ReshapeViewDeviceOperation,3,17.664,11.854,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,329731.0,
1295,0.5215553091211533,,TransposeDeviceOperation,2,11.41,3.339,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,330754.0,
1299,1.1890499199402522,,LayerNormDeviceOperation,2,6.601,27.024,24,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,331778.0,
1303,1.9139371856311138,,SliceDeviceOperation,2,1.608,52.516,48,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,332802.0,
1306,2.0065151095092872,,SliceDeviceOperation,3,4.893,51.849,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,333827.0,
1312,1.3563125555184645,,EmbeddingsDeviceOperation,1,2.477,35.878,4,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,334849.0,
1317,1.2078979082622792,,EmbeddingsDeviceOperation,0,2.398,31.76,4,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,335872.0,
