ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
3150,0.008158036417815222,,LayerNormDeviceOperation,3,32.857,,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,2777091.0
3151,0.02378858292573505,DRAM,MatmulDeviceOperation 32 x 2048 x 9216,3,95.284,0.526,96.0,403.73653499013477,78.8547919902607,12.67746475798665,9.55272891799486,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,3,2778115.0
3152,0.0007468537463794074,,SliceDeviceOperation,3,2.442,0.566,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2779139.0
3153,0.0006857746168550276,,SliceDeviceOperation,3,2.284,0.478,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2780163.0
3154,0.004685712733268676,,NLPCreateQKVHeadsDecodeDeviceOperation,3,18.347,0.525,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2781187.0
3155,0.0005616300446510038,,ShardedToInterleavedDeviceOperation,3,1.71,0.552,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,2782211.0
3156,0.001926972049750858,,LayerNormDeviceOperation,3,7.214,0.547,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,2783235.0
3157,0.000567588984116797,,ShardedToInterleavedDeviceOperation,3,1.745,0.541,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_HEIGHT_SHARDED,,,,2784259.0
3158,0.001930199808628163,,LayerNormDeviceOperation,3,7.238,0.536,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,2785283.0
3159,0.0006100464278105731,,UnaryDeviceOperation,3,1.93,0.527,110,,,,,INT32 => INT32,INT32,INT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2786307.0
3160,0.000603590910055964,,TypecastDeviceOperation,3,0.917,1.514,1,,,,,INT32 => UINT32,UINT32,INT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2787331.0
3161,0.0009581478082706559,,EmbeddingsDeviceOperation,3,2.359,1.5,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,2788355.0
3162,0.0009385329658624203,,EmbeddingsDeviceOperation,3,2.321,1.459,1,,,,,"UINT32, BF16 => BF16",BFLOAT16,UINT32,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,2789379.0
3163,0.0008213404897018218,,ReshapeViewDeviceOperation,3,2.769,0.539,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2790403.0
3164,0.0008141401045139884,,ReshapeViewDeviceOperation,3,2.724,0.555,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2791427.0
3165,0.0007379153371807177,,UntilizeWithUnpaddingDeviceOperation,3,2.374,0.598,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2792451.0
3166,0.000702658278674775,,RepeatDeviceOperation,3,2.282,0.548,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2793475.0
3167,0.0031023728593785557,,TilizeWithValPaddingDeviceOperation,3,3.219,9.276,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2794499.0
3168,0.00283347571598464,,UntilizeWithUnpaddingDeviceOperation,3,1.779,9.633,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2795523.0
3169,0.0012230723253540427,,RepeatDeviceOperation,3,1.473,3.453,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2796547.0
3170,0.003592247341295634,,TilizeWithValPaddingDeviceOperation,3,3.13,11.338,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2797571.0
3171,0.0010174889137841794,,SliceDeviceOperation,3,0.964,3.134,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,2798595.0
3172,0.001579367247579591,,SliceDeviceOperation,3,1.33,5.031,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,2799619.0
3173,0.0010974380182835707,,SliceDeviceOperation,3,0.891,3.529,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,2800643.0
3174,0.0011788768576494104,,SliceDeviceOperation,3,0.862,3.886,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,2801667.0
3175,0.0015488276828174016,,UnaryDeviceOperation,3,1.096,5.142,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,2802691.0
3176,0.001379494486331113,,ConcatDeviceOperation,3,1.216,4.34,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,2803715.0
3177,0.0023234898133705105,,BinaryNgDeviceOperation,3,2.119,7.239,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,2804739.0
3178,0.0015746497538358384,,BinaryNgDeviceOperation,3,2.39,3.952,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,2805763.0
3179,0.0013345541511932562,,BinaryNgDeviceOperation,3,1.51,3.865,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,2806787.0
3180,0.0016945734105849254,,ConcatDeviceOperation,3,2.482,4.343,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,2807811.0
3181,0.003020189152579492,,UntilizeWithUnpaddingDeviceOperation,3,1.769,10.395,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2808835.0
3182,0.0012255552167981234,,RepeatDeviceOperation,3,1.015,3.921,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2809859.0
3183,0.004091805099844626,,TilizeWithValPaddingDeviceOperation,3,3.639,12.841,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2810883.0
3184,0.0027125589026579205,,UntilizeWithUnpaddingDeviceOperation,3,1.789,9.136,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2811907.0
3185,0.0011031486686049559,,RepeatDeviceOperation,3,0.993,3.45,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2812931.0
3186,0.0038559304126569802,,TilizeWithValPaddingDeviceOperation,3,3.673,11.857,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,2813955.0
3187,0.0008950823655910118,,SliceDeviceOperation,3,0.995,2.61,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,2814979.0
3188,0.0015299577078423895,,SliceDeviceOperation,3,1.327,4.835,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,2816003.0
3189,0.0011138251018145019,,SliceDeviceOperation,3,0.905,3.581,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,2817027.0
3190,0.0011955122303247494,,SliceDeviceOperation,3,0.879,3.936,32,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,2818051.0
3191,0.0013487066324245152,,UnaryDeviceOperation,3,1.069,4.363,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_INTERLEAVED,,,,2819075.0
3192,0.0014030819550498773,,ConcatDeviceOperation,3,1.298,4.353,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_INTERLEAVED,,,,2820099.0
