Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
37.14,SparseMatmulDeviceOperation (in0:dram_interleaved),148523.26,16,Compute,,,,,
20.78,UnaryDeviceOperation (in0:dram_interleaved),83114.93,80,Compute,,,,,
15.76,BinaryNgDeviceOperation (in0:dram_interleaved),63038.79,96,Compute,,,,,
11.13,FillPadDeviceOperation (in0:dram_interleaved),44505.57,24,TM,,,,,
6.21,FastReduceNCDeviceOperation (in0:dram_interleaved),24854.74,8,Compute,,,,,
5.71,SliceDeviceOperation (in0:dram_interleaved),22817.12,56,TM,,,,,
1.34,SdpaDecodeDeviceOperation (in0:dram_interleaved),5370.07,8,Compute,,,,,
0.64,PermuteDeviceOperation (in0:dram_interleaved),2567.85,16,TM,,,,,
0.56,MatmulDeviceOperation (in0:dram_interleaved),2242.96,56,Compute,6.64,19.88,10.95,3.85,10.01
0.13,LayerNormDeviceOperation (in0:dram_interleaved),526.01,16,Compute,,,,,
0.10,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),412.02,72,TM,,,,,
0.09,ReshapeViewDeviceOperation (in0:dram_interleaved),376.44,24,TM,,,,,
0.09,TopKDeviceOperation (in0:dram_interleaved),359.06,8,Other,,,,,
0.04,TransposeDeviceOperation (in0:dram_interleaved),160.04,16,TM,,,,,
0.04,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),146.85,8,Other,,,,,
0.03,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),119.98,16,DM,,,,,
0.03,LayerNormDeviceOperation (in0:l1_interleaved),115.56,16,Compute,,,,,
0.03,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),109.03,32,TM,,,,,
0.02,UntilizeDeviceOperation (in0:dram_interleaved),90.28,16,TM,,,,,
0.02,ScatterDeviceOperation (in0:dram_interleaved),79.57,16,Other,,,,,
0.02,SliceDeviceOperation (in0:l1_interleaved),64.91,64,TM,,,,,
0.02,ConcatDeviceOperation (in0:l1_interleaved),60.06,32,TM,,,,,
0.01,BinaryNgDeviceOperation (in0:l1_interleaved),57.41,32,Compute,,,,,
0.01,RepeatDeviceOperation (in0:dram_interleaved),46.16,32,TM,,,,,
0.01,TilizeDeviceOperation (in0:dram_interleaved),40.28,16,TM,,,,,
0.01,EmbeddingsDeviceOperation (in0:dram_interleaved),37.58,16,Compute,,,,,
0.01,ShardedToInterleavedDeviceOperation (in0:height_sharded),27.88,16,DM,,,,,
0.01,TypecastDeviceOperation (in0:dram_interleaved),26.15,24,TM,,,,,
0.01,ReduceDeviceOperation (in0:dram_interleaved),22.88,16,Compute,,,,,
0.00,UnaryDeviceOperation (in0:l1_interleaved),17.61,16,Compute,,,,,
0.00,InterleavedToShardedDeviceOperation (in0:dram_interleaved),13.78,8,DM,,,,,
