ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
437,0.011904136016291055,,LayerNormDeviceOperation,3,67.001,,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,445443.0
438,0.22109168533365758,SLOW,MatmulDeviceOperation 2048 x 2048 x 9216,3,1243.83,0.558,110.0,67.44175651013401,13.172218068385549,62.15432279973952,40.87379182432365,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,3,446467.0
439,0.019252431735724815,,SliceDeviceOperation,3,107.801,0.559,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,447491.0
440,0.015139880633963812,,SliceDeviceOperation,3,84.625,0.588,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,448515.0
441,0.016980197059938692,,NlpCreateHeadsDeviceOperation,3,94.967,0.604,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,449539.0
442,0.01712855236170438,,LayerNormDeviceOperation,3,95.945,0.461,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,450563.0
443,0.003388008681880182,,LayerNormDeviceOperation,3,18.49,0.579,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,451587.0
444,0.0010088160520066954,,SliceDeviceOperation,3,5.167,0.511,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,452611.0
445,0.0009741702030913546,,SliceDeviceOperation,3,4.924,0.559,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,453635.0
446,0.0009638652839267915,,TilizeDeviceOperation,3,4.801,0.624,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,454659.0
447,0.0009096756228027968,,TilizeDeviceOperation,3,4.581,0.539,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,455683.0
448,0.007991642483138632,,SliceDeviceOperation,3,44.498,0.482,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,456707.0
449,0.01261961721414786,,SliceDeviceOperation,3,70.559,0.469,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,457731.0
450,0.009757692422720626,,RotaryEmbeddingHfDeviceOperation,3,54.336,0.584,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,458755.0
451,0.015668984931758098,,ConcatDeviceOperation,3,87.727,0.464,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,459779.0
452,0.0014187030953281901,,SliceDeviceOperation,3,7.397,0.588,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,460803.0
453,0.0015595962142505766,,SliceDeviceOperation,3,8.317,0.461,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,461827.0
454,0.0024045995857447365,,RotaryEmbeddingHfDeviceOperation,3,13.056,0.478,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,462851.0
455,0.0021130414417956374,,ConcatDeviceOperation,3,11.437,0.456,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,463875.0
456,0.0002730803578609177,,SliceDeviceOperation,3,0.85,0.687,1,,,,,INT32 => INT32,INT32,INT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,464899.0
457,0.002125478413201144,,PagedFillCacheDeviceOperation,3,11.436,0.527,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,465923.0
458,0.0020998937863098157,,PagedFillCacheDeviceOperation,3,11.211,0.608,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,466947.0
459,0.1555216623605637,,SDPAOperation,3,869.784,5.551,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,467971.0
460,0.014642579448763612,,NLPConcatHeadsDeviceOperation,3,81.895,0.519,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,468995.0
461,0.020700095207325832,,UnaryDeviceOperation,3,115.987,0.521,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,470019.0
462,0.02023441946369963,,BinaryNgDeviceOperation,3,113.299,0.588,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,471043.0
463,0.09445151331300236,SLOW,MatmulDeviceOperation 2048 x 4096 x 2048,3,531.101,0.508,110.0,78.97375452126806,15.424561429935169,64.6952997038228,42.544783580481116,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,3,472067.0
464,0.010143949220371656,,BinaryNgDeviceOperation,3,56.538,0.556,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,473091.0
465,0.012072745814345713,,LayerNormDeviceOperation,3,67.449,0.501,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,474115.0
466,0.020389348593208234,SLOW,MatmulDeviceOperation 2048 x 2048 x 512,3,114.192,0.567,80.0,110.19083648591844,21.521647751155946,37.61180552052683,34.009517433925446,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,2,475139.0
467,0.0021924603877708036,,UnaryDeviceOperation,3,11.782,0.558,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,476163.0
468,0.020143629572439432,SLOW,MatmulDeviceOperation 2048 x 2048 x 512,3,112.787,0.589,80.0,111.56349579295487,21.7897452720615,38.08033989732859,34.433177713874954,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,2,477187.0
469,0.0027933437776768693,,BinaryNgDeviceOperation,3,15.161,0.561,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,478211.0
470,0.01675668691667972,SLOW,MatmulDeviceOperation 2048 x 512 x 2048,3,93.806,0.507,110.0,134.137603138392,26.198750612967185,45.785635204571136,30.10945076058182,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,3,479235.0
471,0.008872535400688684,SLOW,MatmulDeviceOperation 2048 x 2048 x 32,3,49.367,0.571,64.0,175.23349606012113,34.22529219924241,5.437548483804971,6.14595595048124,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,1,480259.0
472,0.0006051474943879544,,UnaryDeviceOperation,3,2.822,0.584,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,481283.0
473,0.008595723951406115,,BinaryNgDeviceOperation,3,47.864,0.516,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,482307.0
474,0.0021768253380038804,,SliceDeviceOperation,3,11.673,0.579,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,483331.0
475,0.009504866561148677,SLOW,MatmulDeviceOperation 512 x 2048 x 256,3,52.92,0.577,16.0,64.39667422524565,12.57747543461829,10.1449529856387,45.8665770835083,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,2,1,4,484355.0
476,0.008279824877706237,,TopKDeviceOperation,3,46.044,0.558,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,485379.0
477,0.0004177045682049561,,SliceDeviceOperation,3,1.721,0.63,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,486403.0
478,0.0003965617168155943,,SliceDeviceOperation,3,1.619,0.613,16,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,487427.0
479,0.00045199507508013965,,TypecastDeviceOperation,3,1.866,0.678,16,,,,,BF16 => FP32,FLOAT32,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,488451.0
480,0.0015343669293994048,,FillPadDeviceOperation,3,7.96,0.676,16,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,489475.0
481,0.0005395868879789247,,ReduceDeviceOperation,3,2.376,0.661,16,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,490499.0
482,0.0013016178930963457,,BinaryNgDeviceOperation,3,6.804,0.522,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,491523.0
483,0.0006547177089899035,,UnaryDeviceOperation,3,3.149,0.536,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,492547.0
484,0.0015272600885962583,,FillPadDeviceOperation,3,7.956,0.64,16,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,493571.0
485,0.0005227081410714509,,ReduceDeviceOperation,3,2.286,0.656,16,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,494595.0
486,0.001420835147569134,,BinaryNgDeviceOperation,3,7.467,0.53,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,495619.0
487,0.0005054740521238197,,TypecastDeviceOperation,3,2.161,0.684,16,,,,,FP32 => BF16,BFLOAT16,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,496643.0
488,0.0005292819688143617,,UnaryDeviceOperation,3,2.445,0.534,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,497667.0
489,0.0012758555951849384,,UntilizeDeviceOperation,3,6.59,0.591,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,498691.0
490,0.0019620210747287666,,UntilizeWithUnpaddingDeviceOperation,3,10.404,0.639,16,,,,,UINT16 => UINT16,UINT16,UINT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,499715.0
491,0.0019595336804476655,,UntilizeWithUnpaddingDeviceOperation,3,10.376,0.653,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,500739.0
492,0.0035464912317903566,,ScatterDeviceOperation,3,19.43,0.531,110,,,,,"BF16, UINT16 => BF16",BFLOAT16,BFLOAT16,UINT16,False,DEV_0_DRAM_INTERLEAVED,,,,501763.0
493,0.0008904871526343003,,TilizeDeviceOperation,3,4.372,0.64,16,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,502787.0
494,0.0003365089120290034,,UnaryDeviceOperation,3,1.401,0.493,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,503811.0
