ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
1813,0.0005354961144209492,,UntilizeWithUnpaddingDeviceOperation,3,3.673,,103,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1854467.0
1814,0.01418226395930484,,UntilizeWithUnpaddingDeviceOperation,3,3.706,93.571,103,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1855491.0
1815,0.007866675562734978,,UntilizeWithUnpaddingDeviceOperation,3,3.752,50.206,103,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1856515.0
1816,0.0005688826132508967,,ConcatDeviceOperation,3,2.721,1.181,3,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1857539.0
1817,0.014550535994433431,,TilizeWithValPaddingDeviceOperation,3,11.158,88.645,103,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1858563.0
1818,0.0023850206740572578,,CloneOperation,3,12.364,3.995,110,,,,,FP32 => FP32,FLOAT32,FLOAT32,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1859587.0
1819,0.014306625022632113,,UnaryDeviceOperation,3,5.727,92.403,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1860611.0
1820,0.009737631630353828,,UnaryDeviceOperation,3,11.693,55.098,110,,,,,"FP32, FP32 => FP32",FLOAT32,FLOAT32,FLOAT32,False,DEV_0_DRAM_INTERLEAVED,,,,1861635.0
1821,0.019148250523259743,,LayerNormDeviceOperation,3,66.976,64.363,64,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1862659.0
1822,0.45401468741189216,SLOW,MatmulDeviceOperation 2048 x 2048 x 16448,3,3113.554,0.56,110.0,45.97017556143236,8.978549914342258,44.31457568553492,29.142055769633128,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,1,1,1,1863683.0
1823,0.05128895183136493,,SliceDeviceOperation,3,351.233,0.561,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1864707.0
1824,0.000374395323123604,,SliceDeviceOperation,3,1.977,0.591,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1865731.0
1825,0.0007677436805174839,,UntilizeWithUnpaddingDeviceOperation,3,4.803,0.463,103,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1866755.0
1826,0.04837805735259318,,UntilizeWithUnpaddingDeviceOperation,3,331.341,0.487,108,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1867779.0
1827,0.05506133461400639,,ConcatDeviceOperation,3,377.047,0.622,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1868803.0
1828,0.050035135718100525,,TilizeWithValPaddingDeviceOperation,3,342.601,0.593,108,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1869827.0
1829,0.05117333832231625,,SliceDeviceOperation,3,350.504,0.497,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_DRAM_INTERLEAVED,,,,1870851.0
1830,0.0655995132534224,,BinaryNgDeviceOperation,3,449.358,0.593,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_DRAM_INTERLEAVED,,,,1871875.0
