Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
66.46,SparseMatmulDeviceOperation (in0:dram_interleaved),454467.66,16,Compute,,,,,
13.20,MatmulDeviceOperation (in0:dram_interleaved),90284.65,368,Compute,4.85,45.96,7.24,7.42,7.91
7.41,BinaryNgDeviceOperation (in0:dram_interleaved),50645.11,448,Compute,,,,,
6.36,UnaryDeviceOperation (in0:dram_interleaved),43497.44,74,Compute,,,,,
2.75,SliceDeviceOperation (in0:dram_interleaved),18783.24,582,TM,,,,,
1.86,FastReduceNCDeviceOperation (in0:dram_interleaved),12699.05,8,Compute,,,,,
0.51,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),3489.12,62,TM,,,,,
0.31,TilizeDeviceOperation (in0:dram_interleaved),2137.92,22,TM,,,,,
0.19,PermuteDeviceOperation (in0:dram_interleaved),1281.35,12,TM,,,,,
0.17,ConcatDeviceOperation (in0:dram_interleaved),1172.37,8,TM,,,,,
0.17,TypecastDeviceOperation (in0:dram_interleaved),1153.80,28,TM,,,,,
0.12,TransposeDeviceOperation (in0:dram_interleaved),842.33,8,TM,,,,,
0.12,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),814.01,10,TM,,,,,
0.07,ReduceDeviceOperation (in0:dram_interleaved),467.31,28,Compute,,,,,
0.07,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),461.86,2,TM,,,,,
0.06,LayerNormDeviceOperation (in0:dram_interleaved),436.03,6,Compute,,,,,
0.05,TopKDeviceOperation (in0:dram_interleaved),367.76,8,Other,,,,,
0.05,ScatterDeviceOperation (in0:dram_interleaved),312.25,16,Other,,,,,
0.02,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),168.75,2,TM,,,,,
0.02,FillPadDeviceOperation (in0:dram_interleaved),127.06,16,TM,,,,,
0.01,UntilizeDeviceOperation (in0:dram_interleaved),101.72,16,TM,,,,,
0.01,CopyDeviceOperation (in0:dram_interleaved),39.21,6,DM,,,,,
0.00,UpdateKVCacheOperation (in0:dram_interleaved),33.68,2,Other,,,,,
0.00,CloneOperation (in0:dram_interleaved),24.87,2,DM,,,,,
