Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
51.12,SparseMatmulDeviceOperation (in0:dram_interleaved),1040.58,2,Compute,0.37,0.96,0.67,0.42,0.73
12.90,UnaryDeviceOperation (in0:dram_interleaved),262.60,3,Compute,,,,,
12.40,MatmulDeviceOperation (in0:dram_interleaved),252.46,6,Compute,3.44,9.69,5.48,2.22,4.96
8.84,TransposeDeviceOperation (in0:dram_interleaved),180.03,3,TM,,,,,
3.16,LayerNormDeviceOperation (in0:dram_interleaved),64.32,4,Compute,,,,,
2.21,TopKDeviceOperation (in0:dram_interleaved),44.91,1,Other,,,,,
1.88,BinaryNgDeviceOperation (in0:dram_interleaved),38.22,9,Compute,,,,,
1.38,SliceDeviceOperation (in0:dram_interleaved),28.13,17,TM,,,,,
1.35,ReshapeViewDeviceOperation (in0:dram_interleaved),27.52,6,TM,,,,,
1.22,FillPadDeviceOperation (in0:dram_interleaved),24.87,4,TM,,,,,
0.64,SdpaDecodeDeviceOperation (in0:dram_interleaved),12.95,1,Compute,,,,,
0.54,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),11.05,4,TM,,,,,
0.52,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),10.52,1,TM,,,,,
0.40,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),8.16,2,DM,,,,,
0.35,RotaryEmbeddingDeviceOperation (in0:dram_interleaved),7.12,2,Compute,,,,,
0.33,ReduceDeviceOperation (in0:dram_interleaved),6.65,2,Compute,,,,,
0.33,SoftmaxDeviceOperation (in0:dram_interleaved),6.63,1,Compute,,,,,
0.20,ScatterDeviceOperation (in0:dram_interleaved),4.03,1,Other,,,,,
0.17,ConcatDeviceOperation (in0:dram_interleaved),3.41,2,TM,,,,,
0.07,InterleavedToShardedDeviceOperation (in0:dram_interleaved),1.36,2,DM,,,,,
