ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice,Raw OP Code
4231,0.11466796669523663,,LayerNormDeviceOperation,3,26.189,,1,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_2_DRAM_INTERLEAVED,,,,1956867.0,,LayerNormDeviceOperation
4235,0.46418437088836956,SLOW,MatmulDeviceOperation 32 x 2048 x 6176,3,48.85,57.165,97.0,269.6987512794268,52.675537359263046,16.57114988741044,6.178985705202083,HiFi2 BF16 x BFP8 => BF16,BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_2_DRAM_INTERLEAVED,2,1,2,1957891.0,If possible place input 0 in L1 (currently in DEV_2_DRAM_INTERLEAVED) • in0_block_w=2 and output subblock 1x2 look good 🤷 • If your matmuls are not FLOP-bound use HiFi4 with BF16 activations for full accuracy,MatmulDeviceOperation
4240,0.02810107336095416,,SliceDeviceOperation,2,1.975,4.443,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1958914.0,,SliceDeviceOperation
4246,0.17904473229606382,,SliceDeviceOperation,1,1.282,39.61,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1959937.0,,SliceDeviceOperation
4248,0.08587509377195295,,SliceDeviceOperation,2,0.75,18.863,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1960962.0,,SliceDeviceOperation
4252,0.6005695896668614,,UntilizeWithUnpaddingDeviceOperation,2,3.541,133.623,97,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1961986.0,,UntilizeWithUnpaddingDeviceOperation
4256,0.011401557343709044,,SliceDeviceOperation,2,1.359,1.245,5,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1963010.0,,SliceDeviceOperation
4261,0.021042966433896183,,TilizeWithValPaddingDeviceOperation,0,2.063,2.743,1,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1964032.0,,TilizeWithValPaddingDeviceOperation
4265,0.5211002095638203,,UntilizeWithUnpaddingDeviceOperation,0,2.304,116.71,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1965056.0,,UntilizeWithUnpaddingDeviceOperation
4268,0.15511634870029964,,UntilizeWithUnpaddingDeviceOperation,2,2.263,33.164,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1966082.0,,UntilizeWithUnpaddingDeviceOperation
4273,0.12499679686951068,,UntilizeWithUnpaddingDeviceOperation,0,2.248,26.3,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1967104.0,,UntilizeWithUnpaddingDeviceOperation
4275,0.1864837668302273,,UntilizeWithUnpaddingDeviceOperation,3,3.385,39.206,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1968131.0,,UntilizeWithUnpaddingDeviceOperation
4281,0.012675694512303257,,ConcatDeviceOperation,0,1.712,1.183,8,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_2_DRAM_INTERLEAVED,,,,1969152.0,,ConcatDeviceOperation
4286,0.3010072437434584,,TilizeWithValPaddingDeviceOperation,1,7.153,61.594,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1970177.0,,TilizeWithValPaddingDeviceOperation
4290,0.09385705960819779,,SliceDeviceOperation,1,1.971,19.465,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1971201.0,,SliceDeviceOperation
4294,0.35689414003190006,,BinaryNgDeviceOperation,1,3.833,77.678,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_2_DRAM_INTERLEAVED,,,,1972225.0,,BinaryNgDeviceOperation
4297,0.36997703302076446,,UntilizeWithUnpaddingDeviceOperation,0,4.194,80.305,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1973248.0,,UntilizeWithUnpaddingDeviceOperation
4301,0.030395395960072263,,SliceDeviceOperation,0,1.324,5.618,5,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1974272.0,,SliceDeviceOperation
4306,0.3112747752223361,,TilizeWithValPaddingDeviceOperation,1,6.294,64.798,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1975297.0,,TilizeWithValPaddingDeviceOperation
4308,0.14251508831812043,,BinaryNgDeviceOperation,2,3.909,28.64,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_2_DRAM_INTERLEAVED,,,,1976322.0,,BinaryNgDeviceOperation
4311,0.21187894063725973,,BinaryNgDeviceOperation,3,2.89,45.501,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_2_DRAM_INTERLEAVED,,,,1977347.0,,BinaryNgDeviceOperation
4316,0.3026010098237618,,UntilizeWithUnpaddingDeviceOperation,2,4.155,64.956,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1978370.0,,UntilizeWithUnpaddingDeviceOperation
4320,0.011690536907720102,,SliceDeviceOperation,2,1.597,1.073,5,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1979394.0,,SliceDeviceOperation
4323,0.18779731030300484,,TilizeWithValPaddingDeviceOperation,3,6.375,36.516,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_2_DRAM_INTERLEAVED,,,,1980419.0,,TilizeWithValPaddingDeviceOperation
4328,0.10596793042720672,,BinaryNgDeviceOperation,2,3.852,20.35,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_2_DRAM_INTERLEAVED,,,,1981442.0,,BinaryNgDeviceOperation
4334,0.19395782919033147,,BinaryNgDeviceOperation,1,2.891,41.407,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_2_DRAM_INTERLEAVED,,,,1982465.0,,BinaryNgDeviceOperation
