Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
94.45,TopKDeviceOperation (in0:dram_interleaved),10607.98,1,Other,,,,,
3.42,MatmulDeviceOperation (in0:dram_interleaved),384.40,1,Compute,7.09,7.09,7.09,,7.09
0.59,AllBroadcastDeviceOperation (in0:dram_interleaved),65.92,4,Other,,,,,
0.24,PadDeviceOperation (in0:dram_interleaved),27.45,1,TM,,,,,
0.24,SamplingDeviceOperation (in0:dram_interleaved),27.34,1,Other,,,,,
0.23,LayerNormDeviceOperation (in0:dram_interleaved),26.14,1,Compute,,,,,
0.21,FillPadDeviceOperation (in0:dram_interleaved),24.13,1,TM,,,,,
0.21,TypecastDeviceOperation (in0:dram_interleaved),24.03,2,TM,,,,,
0.17,ManualSeedDeviceOperation (in0:dram_interleaved),18.64,1,Other,,,,,
0.09,UntilizeDeviceOperation (in0:dram_interleaved),10.24,3,TM,,,,,
0.07,ConcatDeviceOperation (in0:dram_interleaved),7.56,4,TM,,,,,
0.04,TilizeDeviceOperation (in0:dram_interleaved),4.46,2,TM,,,,,
0.02,BinaryNgDeviceOperation (in0:dram_interleaved),2.57,1,Compute,,,,,
