Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
35.30,MatmulDeviceOperation (in0:dram_interleaved),2200.75,78,Compute,1.48,9.68,3.01,1.00,3.02
17.89,UnaryDeviceOperation (in0:dram_interleaved),1115.64,16,Compute,,,,,
11.81,BinaryNgDeviceOperation (in0:dram_interleaved),735.98,298,Compute,,,,,
11.53,TransposeDeviceOperation (in0:dram_interleaved),718.56,26,TM,,,,,
6.44,SparseMatmulDeviceOperation (in0:dram_interleaved),401.21,10,Compute,2.54,4.63,3.61,1.06,4.25
3.05,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),190.12,28,TM,,,,,
2.26,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),140.83,41,TM,,,,,
2.23,ReduceScatterDeviceOperation (in0:dram_interleaved),138.88,12,DM,,,,,
2.10,AllGatherDeviceOperation (in0:dram_interleaved),130.82,12,DM,,,,,
1.04,LayerNormDeviceOperation (in0:dram_interleaved),65.12,5,Compute,,,,,
0.99,ReshapeViewDeviceOperation (in0:dram_interleaved),61.81,12,TM,,,,,
0.89,SliceDeviceOperation (in0:dram_interleaved),55.56,43,TM,,,,,
0.84,FillPadDeviceOperation (in0:dram_interleaved),52.53,8,TM,,,,,
0.76,PermuteDeviceOperation (in0:dram_interleaved),47.34,2,TM,,,,,
0.72,TopKDeviceOperation (in0:dram_interleaved),44.89,1,Other,,,,,
0.63,PadDeviceOperation (in0:dram_interleaved),39.32,6,TM,,,,,
0.55,AccumulationDeviceOperation (in0:dram_interleaved),34.22,1,Compute,,,,,
0.45,ReduceDeviceOperation (in0:dram_interleaved),28.31,6,Compute,,,,,
0.25,MoeRoutingRemapDeviceOperation (in0:dram_interleaved),15.42,5,Other,,,,,
0.12,ConcatDeviceOperation (in0:dram_interleaved),7.18,5,TM,,,,,
0.09,SoftmaxDeviceOperation (in0:dram_interleaved),5.80,1,Compute,,,,,
0.07,ScatterDeviceOperation (in0:dram_interleaved),4.19,1,Other,,,,,
