# Correctness log — tests/test_multichip_decoder.py, 4-die P300_X2 mesh
# command: pytest models/autoports/qwen_qwen3_coder_30b_a3b_instruct/tests/test_multichip_decoder.py -q
# result:  38 passed in 186.11s
# Every PCC quoted in README.md and work_log.md is a line of this file.

test_multichip_decoder:test_baseline_upload_is_actually_replicated | replicated single-chip baseline: max spread across 4 dies = 0.000e+00
test_multichip_decoder:test_expert_window_can_be_empty | empty-window partials: max |value| on dies [2, 3] = 0.0
test_multichip_decoder:test_expert_window_can_be_empty | forced routing: live experts per die = [6, 2, 0, 0] (sum 8)
test_multichip_decoder:test_expert_window_can_be_empty | layer under maximally unbalanced routing vs single-chip: 0.9999411824084109
test_multichip_decoder:test_local_kv_cache_layout | local KV head layout: 4x[.,1,.,.] stitched vs single-chip [.,4,.,.]: 1.0
test_multichip_decoder:test_local_kv_cache_layout | per-die KV: 512 B/token/layer (single chip: 2048)
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=1 user 0 vs HF: 0.9992853375486183
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=2 user 0 vs HF: 0.9992853375486183
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=2 user 1 vs HF: 0.9994404566299263
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 0 vs HF: 0.9992853375486183
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 1 vs HF: 0.9994404566299263
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 10 vs HF: 0.9961354684000411
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 11 vs HF: 0.9995887250230043
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 12 vs HF: 0.9990459143497081
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 13 vs HF: 0.9940331843473099
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 14 vs HF: 0.9992789338379564
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 15 vs HF: 0.9994940504213962
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 16 vs HF: 0.9990074297654384
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 17 vs HF: 0.9991470326893612
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 18 vs HF: 0.9993429465779171
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 19 vs HF: 0.9967650071389428
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 2 vs HF: 0.9994587099710673
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 20 vs HF: 0.9993672799525125
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 21 vs HF: 0.9990861044195644
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 22 vs HF: 0.9993185347596716
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 23 vs HF: 0.9994600650393888
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 24 vs HF: 0.9994357022031565
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 25 vs HF: 0.9955415383965632
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 26 vs HF: 0.9994945952526296
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 27 vs HF: 0.9994834183281169
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 28 vs HF: 0.9992913326090967
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 29 vs HF: 0.993350059352677
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 3 vs HF: 0.9993819116110413
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 30 vs HF: 0.9992692144367015
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 31 vs HF: 0.9994408138788807
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 4 vs HF: 0.999462784022783
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 5 vs HF: 0.9995227720313383
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 6 vs HF: 0.9993025507353572
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 7 vs HF: 0.9993004966558956
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 8 vs HF: 0.9992621656310625
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=32 user 9 vs HF: 0.999228674581969
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=8 user 0 vs HF: 0.9992853375486183
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=8 user 1 vs HF: 0.9994404566299263
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=8 user 2 vs HF: 0.9994587099710673
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=8 user 3 vs HF: 0.9993819116110413
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=8 user 4 vs HF: 0.999462784022783
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=8 user 5 vs HF: 0.9995227720313383
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=8 user 6 vs HF: 0.9993025507353572
test_multichip_decoder:test_multichip_decode_batch | multichip decode batch=8 user 7 vs HF: 0.9993004966558956
test_multichip_decoder:test_multichip_decode_contiguous_batch8 | multichip decode [contiguous, batch 8] user 0 vs single-chip TTNN: 0.9999733563208021
test_multichip_decoder:test_multichip_decode_contiguous_batch8 | multichip decode [contiguous, batch 8] user 1 vs single-chip TTNN: 0.9999657777449434
test_multichip_decoder:test_multichip_decode_contiguous_batch8 | multichip decode [contiguous, batch 8] user 2 vs single-chip TTNN: 0.9999764744924663
test_multichip_decoder:test_multichip_decode_contiguous_batch8 | multichip decode [contiguous, batch 8] user 3 vs single-chip TTNN: 0.9999638197652972
test_multichip_decoder:test_multichip_decode_contiguous_batch8 | multichip decode [contiguous, batch 8] user 4 vs single-chip TTNN: 0.9999793044977711
test_multichip_decoder:test_multichip_decode_contiguous_batch8 | multichip decode [contiguous, batch 8] user 5 vs single-chip TTNN: 0.9999637223635616
test_multichip_decoder:test_multichip_decode_contiguous_batch8 | multichip decode [contiguous, batch 8] user 6 vs single-chip TTNN: 0.9999632395221967
test_multichip_decoder:test_multichip_decode_contiguous_batch8 | multichip decode [contiguous, batch 8] user 7 vs single-chip TTNN: 0.9999746107533688
test_multichip_decoder:test_multichip_decode_is_traceable | multichip traced decode vs eager: 1.0
test_multichip_decoder:test_multichip_decode_is_traceable | multichip traced replay delta after input swap = 0.158203
test_multichip_decoder:test_multichip_decode_stress_is_deterministic | multichip decode: 20 consecutive steps bit-identical across all 4 dies
test_multichip_decoder:test_multichip_decode_vs_single_chip | multichip decode [contiguous] vs single-chip TTNN: 0.9999733563208021
test_multichip_decoder:test_multichip_decode_vs_single_chip | multichip decode [paged(32)] vs single-chip TTNN: 0.9999698109332898
test_multichip_decoder:test_multichip_multi_step_decode_vs_hf | multichip decode step 0 (pos 32) vs HF: 0.9992853372440286
test_multichip_decoder:test_multichip_multi_step_decode_vs_hf | multichip decode step 1 (pos 33) vs HF: 0.9987817254159583
test_multichip_decoder:test_multichip_multi_step_decode_vs_hf | multichip decode step 2 (pos 34) vs HF: 0.9993125844482036
test_multichip_decoder:test_multichip_multi_step_decode_vs_hf | multichip decode step 3 (pos 35) vs HF: 0.9989591994082014
