Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Warning: 'HOST START TS' column not found. CSV will not be sorted.
Using operations after 'MULTICHIP_PREFILL'.
Using operations until 'MULTICHIP_PREFILL_END'.
Detected data from 4 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                  Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  910    1.2 %         ReshapeViewDeviceOperation                     0        91 μs                  110                                                       BF16 => BF16
  914    0.7 %         LayerNormDeviceOperation                       0        31 μs         24 μs     17                                                 BF16, BF16 => BF16
  917    1.4 %   SLOW  MatmulDeviceOperation 544 x 3072 x 1280        1        30 μs         81 μs     90  225 GB/s  43.9 %  143.5 TFLOPs   28.8 %  LoFi BF16 x BFP4 => BF16
  920    0.9 %         ReshapeViewDeviceOperation                     2        49 μs         20 μs    110                                                       BF16 => BF16
  924    0.3 %         NlpCreateHeadsDeviceOperation                  2        21 μs          1 μs     32                                                       BF16 => BF16
  929    0.4 %         SliceDeviceOperation                           1         1 μs         34 μs      8                                                       BF16 => BF16
  931    0.3 %         SliceDeviceOperation                           3         1 μs         26 μs      8                                                       BF16 => BF16
  937    0.9 %         RotaryEmbeddingDeviceOperation                 1        20 μs         50 μs     32                                                 BF16, BF16 => BF16
  942    0.7 %         RotaryEmbeddingDeviceOperation                 0        41 μs         13 μs     96                                                 BF16, BF16 => BF16
  946    0.2 %         SliceDeviceOperation                           0         3 μs         13 μs    110                                                       BF16 => BF16
  949    0.6 %         SliceDeviceOperation                           1         9 μs         35 μs    110                                                       BF16 => BF16
  953    0.2 %         SliceDeviceOperation                           1         1 μs         11 μs      8                                                       BF16 => BF16
  957    0.2 %         SliceDeviceOperation                           1         1 μs         15 μs      8                                                       BF16 => BF16
  961    0.4 %         TypecastDeviceOperation                        1         1 μs         33 μs      8                                                       BF16 => BFP8
  965    0.4 %         UpdateKVCacheOperation                         1         4 μs         27 μs      1                                                 BFP8, BFP8 => BFP8
  969    0.2 %         TypecastDeviceOperation                        1         1 μs         12 μs      8                                                       BF16 => BFP8
  974    0.2 %         UpdateKVCacheOperation                         0         4 μs         10 μs      1                                                 BFP8, BFP8 => BFP8
  975    0.2 %         SliceDeviceOperation                           3         1 μs         16 μs      8                                                       BF16 => BF16
  979    0.2 %         SliceDeviceOperation                           3         1 μs         13 μs      8                                                       BF16 => BF16
  985    0.2 %         TypecastDeviceOperation                        1         1 μs         12 μs      8                                                       BF16 => BFP8
