config_id,decision,dtype_policy,compute_fidelity_policy,prefill_top1,prefill_top5,prefill_top100,tf_top1,tf_top5,tf_top100,ttft_ms,decode_t_s_u,e2e_t_s_u,pass_fail,measurement_regime,command,hardware,mesh,reference,delta_from_baseline,reason
C00_baseline,SELECTED,expert=bfloat4_b weight=bfloat8_b cache=bfloat8_b lm_head=bfloat8_b attn=bfloat4_b shared_gu=bfloat4_b shared_dn=bfloat4_b expert_gu=bfloat4_b expert_dn=bfloat4_b dense_mlp=bfloat8_b,lm_head=HiFi2 attn=LoFi mlp=LoFi expert=LoFi router=HiFi4+fp32acc,0.88,1.0,1.0,0.85,1.0,1.0,590.2794540015748,44.02276464118269,35.22151802232549,PASS,"trace-verified teacher-forcing decode (models.common.readiness_check.run_teacher_forcing, enable_trace=True; generator.generate() is required to explicitly accept enable_trace and this path always passes it -- see run_teacher_forcing._require_explicit_generate_kwarg)",python -m models.autoports.zai_org_glm_4_7_flash.tests.dev_datatype_sweep --config-id C00_baseline  --out doc/datatype_sweep/runs/C00_baseline.json,"1x Blackhole p150-class chip (device 0), 11x10 compute grid, 8 DRAM banks",N150 (1x1),"models/autoports/zai_org_glm_4_7_flash/readiness_aime24_chat.refpt (AIME24, chat template, 100 generated tokens)","shipped optimized-decoder/optimized-full-model policy, unchanged","fastest config that passes the bar; every deviation tested below is slower, less accurate, or both"
C01_lmhead_bf4_lofi,REJECTED,expert=bfloat4_b weight=bfloat8_b cache=bfloat8_b lm_head=bfloat4_b attn=bfloat4_b shared_gu=bfloat4_b shared_dn=bfloat4_b expert_gu=bfloat4_b expert_dn=bfloat4_b dense_mlp=bfloat8_b,lm_head=LoFi attn=LoFi mlp=LoFi expert=LoFi router=HiFi4+fp32acc,0.86,1.0,1.0,0.79,0.99,1.0,590.3029279998009,44.619301930079466,35.59860168849902,PASS,"trace-verified teacher-forcing decode (models.common.readiness_check.run_teacher_forcing, enable_trace=True; generator.generate() is required to explicitly accept enable_trace and this path always passes it -- see run_teacher_forcing._require_explicit_generate_kwarg)",python -m models.autoports.zai_org_glm_4_7_flash.tests.dev_datatype_sweep --config-id C01_lmhead_bf4_lofi --lm-head-dtype bf4 --lm-head-fidelity lofi --out doc/datatype_sweep/runs/C01_lmhead_bf4_lofi.json,"1x Blackhole p150-class chip (device 0), 11x10 compute grid, 8 DRAM banks",N150 (1x1),"models/autoports/zai_org_glm_4_7_flash/readiness_aime24_chat.refpt (AIME24, chat template, 100 generated tokens)","LM head bfloat8_b -> bfloat4_b, fidelity HiFi2 -> LoFi","teacher-forced top-1 0.850->0.790 (-0.060 abs, -7.1% rel), top-5 1.000->0.990 (still >=0.98 bar) for a +1.36% token-out decode gain (44.02->44.62 t/s/u); the isolated-op 624us-vs-878us win (doc/full_model/head_probe.json) is ~4% of the model-only step so the full-model gain is much smaller than the op-level number suggests. Same precedent as FM-021 (doc/full_model/work_log.md): an LM-head precision change is an accuracy change, and this stage's team rejected a comparable top-1 hit there for an even smaller (0.04%) gain. The LM head is not capacity-constrained (0.314 GiB bf8 vs the ~32 GiB budget), so there is no capacity argument for bf4 here the way there is for routed experts."
C02_lmhead_bf4_hifi2,REJECTED,expert=bfloat4_b weight=bfloat8_b cache=bfloat8_b lm_head=bfloat4_b attn=bfloat4_b shared_gu=bfloat4_b shared_dn=bfloat4_b expert_gu=bfloat4_b expert_dn=bfloat4_b dense_mlp=bfloat8_b,lm_head=HiFi2 attn=LoFi mlp=LoFi expert=LoFi router=HiFi4+fp32acc,0.86,1.0,1.0,0.79,0.99,1.0,590.2025189989217,44.62157511038327,35.601322615915514,PASS,"trace-verified teacher-forcing decode (models.common.readiness_check.run_teacher_forcing, enable_trace=True; generator.generate() is required to explicitly accept enable_trace and this path always passes it -- see run_teacher_forcing._require_explicit_generate_kwarg)",python -m models.autoports.zai_org_glm_4_7_flash.tests.dev_datatype_sweep --config-id C02_lmhead_bf4_hifi2 --lm-head-dtype bf4 --lm-head-fidelity hifi2 --out doc/datatype_sweep/runs/C02_lmhead_bf4_hifi2.json,"1x Blackhole p150-class chip (device 0), 11x10 compute grid, 8 DRAM banks",N150 (1x1),"models/autoports/zai_org_glm_4_7_flash/readiness_aime24_chat.refpt (AIME24, chat template, 100 generated tokens)","LM head bfloat8_b -> bfloat4_b, fidelity stays HiFi2 (BFP4+HiFi2 vs BFP4+LoFi pair for C01)","identical to C01 (top1 0.790, top5 0.990, decode 44.62 t/s/u): the accuracy cost is from the bf4 dtype quantization, not the fidelity choice -- HiFi2 buys nothing over LoFi here. Confirms LoFi is the correct fidelity *if* bf4 LM head were ever adopted, and confirms the rejection is dtype-driven, not fidelity-driven."
C03_lmhead_bf8_lofi,REJECTED,expert=bfloat4_b weight=bfloat8_b cache=bfloat8_b lm_head=bfloat8_b attn=bfloat4_b shared_gu=bfloat4_b shared_dn=bfloat4_b expert_gu=bfloat4_b expert_dn=bfloat4_b dense_mlp=bfloat8_b,lm_head=LoFi attn=LoFi mlp=LoFi expert=LoFi router=HiFi4+fp32acc,0.85,1.0,1.0,0.83,1.0,1.0,590.408946000025,44.07813342826226,35.25496414749761,PASS,"trace-verified teacher-forcing decode (models.common.readiness_check.run_teacher_forcing, enable_trace=True; generator.generate() is required to explicitly accept enable_trace and this path always passes it -- see run_teacher_forcing._require_explicit_generate_kwarg)",python -m models.autoports.zai_org_glm_4_7_flash.tests.dev_datatype_sweep --config-id C03_lmhead_bf8_lofi --lm-head-fidelity lofi --out doc/datatype_sweep/runs/C03_lmhead_bf8_lofi.json,"1x Blackhole p150-class chip (device 0), 11x10 compute grid, 8 DRAM banks",N150 (1x1),"models/autoports/zai_org_glm_4_7_flash/readiness_aime24_chat.refpt (AIME24, chat template, 100 generated tokens)","LM head dtype unchanged (bfloat8_b); fidelity HiFi2 -> LoFi (BFP8+LoFi vs BFP8+HiFi2 for this dominant decode projection group, per skill mandate)","teacher-forced top-1 0.850->0.830 (-0.020 abs) for a 44.02->44.08 t/s/u change (+0.14%, inside this harness's run-to-run noise band, consistent with the isolated-op finding of a 0.6% device-time difference in doc/optimized_full_model/README.md item 1). No measurable speed benefit to justify any accuracy risk."
C04_kvcache_bf16,REJECTED,expert=bfloat4_b weight=bfloat8_b cache=bfloat16 lm_head=bfloat8_b attn=bfloat4_b shared_gu=bfloat4_b shared_dn=bfloat4_b expert_gu=bfloat4_b expert_dn=bfloat4_b dense_mlp=bfloat8_b,lm_head=HiFi2 attn=LoFi mlp=LoFi expert=LoFi router=HiFi4+fp32acc,0.86,0.99,1.0,0.85,1.0,1.0,620.4827580004348,43.909699352002924,34.78059532864382,PASS,"trace-verified teacher-forcing decode (models.common.readiness_check.run_teacher_forcing, enable_trace=True; generator.generate() is required to explicitly accept enable_trace and this path always passes it -- see run_teacher_forcing._require_explicit_generate_kwarg)",python -m models.autoports.zai_org_glm_4_7_flash.tests.dev_datatype_sweep --config-id C04_kvcache_bf16 --cache-dtype bf16 --out doc/datatype_sweep/runs/C04_kvcache_bf16.json,"1x Blackhole p150-class chip (device 0), 11x10 compute grid, 8 DRAM banks",N150 (1x1),"models/autoports/zai_org_glm_4_7_flash/readiness_aime24_chat.refpt (AIME24, chat template, 100 generated tokens)",paged latent KV cache bfloat8_b -> bfloat16 (comparability arm),"teacher-forced accuracy is identical to baseline (top1 0.850, top5 1.000, top100 1.000) but TTFT regresses 590.28->620.48 ms (+5.1%, more DRAM traffic for the doubled-width cache read/write) and decode is marginally slower (44.02->43.91 t/s/u). Matches the already-committed 202k real-weight evidence in doc/context_contract.json's optimized_decoder section (bf8 == bf16 within noise on accuracy); bf8 wins on speed with no accuracy cost."
C05_router_hifi2,REJECTED,expert=bfloat4_b weight=bfloat8_b cache=bfloat8_b lm_head=bfloat8_b attn=bfloat4_b shared_gu=bfloat4_b shared_dn=bfloat4_b expert_gu=bfloat4_b expert_dn=bfloat4_b dense_mlp=bfloat8_b,lm_head=HiFi2 attn=LoFi mlp=LoFi expert=LoFi router=HiFi2,0.88,1.0,1.0,0.82,1.0,1.0,590.7181460006541,44.08513046384276,35.25596286840051,PASS,"trace-verified teacher-forcing decode (models.common.readiness_check.run_teacher_forcing, enable_trace=True; generator.generate() is required to explicitly accept enable_trace and this path always passes it -- see run_teacher_forcing._require_explicit_generate_kwarg)",python -m models.autoports.zai_org_glm_4_7_flash.tests.dev_datatype_sweep --config-id C05_router_hifi2 --router-fidelity hifi2 --out doc/datatype_sweep/runs/C05_router_hifi2.json,"1x Blackhole p150-class chip (device 0), 11x10 compute grid, 8 DRAM banks",N150 (1x1),"models/autoports/zai_org_glm_4_7_flash/readiness_aime24_chat.refpt (AIME24, chat template, 100 generated tokens)",router/gate compute fidelity HiFi4+fp32acc -> HiFi2 (decode only; prefill routing is unaffected by this plumbing and stays HiFi4),"teacher-forced top-1 0.850->0.820 (-0.030 abs) from routing-decision flips under lower router fidelity, for a 44.02->44.09 t/s/u change (+0.16%, noise-level, matches the isolated-op finding of ~0.19% of the model-only step in doc/optimized_full_model/README.md item 2). No measurable benefit for a real accuracy cost on a selection-sensitive tensor."
C06_attn_hifi2,REJECTED,expert=bfloat4_b weight=bfloat8_b cache=bfloat8_b lm_head=bfloat8_b attn=bfloat4_b shared_gu=bfloat4_b shared_dn=bfloat4_b expert_gu=bfloat4_b expert_dn=bfloat4_b dense_mlp=bfloat8_b,lm_head=HiFi2 attn=HiFi2 mlp=LoFi expert=LoFi router=HiFi4+fp32acc,0.88,1.0,1.0,0.85,1.0,1.0,590.3322430003755,41.871037402730025,33.84370424508158,PASS,"trace-verified teacher-forcing decode (models.common.readiness_check.run_teacher_forcing, enable_trace=True; generator.generate() is required to explicitly accept enable_trace and this path always passes it -- see run_teacher_forcing._require_explicit_generate_kwarg)",python -m models.autoports.zai_org_glm_4_7_flash.tests.dev_datatype_sweep --config-id C06_attn_hifi2 --attn-fidelity hifi2 --out doc/datatype_sweep/runs/C06_attn_hifi2.json,"1x Blackhole p150-class chip (device 0), 11x10 compute grid, 8 DRAM banks",N150 (1x1),"models/autoports/zai_org_glm_4_7_flash/readiness_aime24_chat.refpt (AIME24, chat template, 100 generated tokens)","attention decode group (wqkv_a, wq_b, w_uk, w_uv, wo; bfloat4_b) fidelity LoFi -> HiFi2 (BFP4+HiFi2 vs BFP4+LoFi pair)","teacher-forced accuracy identical to baseline (0.850/1.000/1.000) but decode regresses 44.02->41.87 t/s/u (-4.9%, the largest speed delta in this sweep after LM-head dtype). LoFi ties on accuracy and wins decisively on speed for this group."
C07_expert_hifi2,REJECTED,expert=bfloat4_b weight=bfloat8_b cache=bfloat8_b lm_head=bfloat8_b attn=bfloat4_b shared_gu=bfloat4_b shared_dn=bfloat4_b expert_gu=bfloat4_b expert_dn=bfloat4_b dense_mlp=bfloat8_b,lm_head=HiFi2 attn=LoFi mlp=LoFi expert=HiFi2 router=HiFi4+fp32acc,0.88,1.0,1.0,0.85,1.0,1.0,590.6443080002646,43.823030003294186,35.09029099795917,PASS,"trace-verified teacher-forcing decode (models.common.readiness_check.run_teacher_forcing, enable_trace=True; generator.generate() is required to explicitly accept enable_trace and this path always passes it -- see run_teacher_forcing._require_explicit_generate_kwarg)",python -m models.autoports.zai_org_glm_4_7_flash.tests.dev_datatype_sweep --config-id C07_expert_hifi2 --expert-fidelity hifi2 --out doc/datatype_sweep/runs/C07_expert_hifi2.json,"1x Blackhole p150-class chip (device 0), 11x10 compute grid, 8 DRAM banks",N150 (1x1),"models/autoports/zai_org_glm_4_7_flash/readiness_aime24_chat.refpt (AIME24, chat template, 100 generated tokens)","routed experts (bfloat4_b, the dominant MoE compute) fidelity LoFi -> HiFi2 (BFP4+HiFi2 vs BFP4+LoFi pair)",teacher-forced accuracy identical to baseline (0.850/1.000/1.000); decode regresses 44.02->43.82 t/s/u (-0.45%). LoFi ties on accuracy and wins on speed.
C08_mlp_hifi2,REJECTED,expert=bfloat4_b weight=bfloat8_b cache=bfloat8_b lm_head=bfloat8_b attn=bfloat4_b shared_gu=bfloat4_b shared_dn=bfloat4_b expert_gu=bfloat4_b expert_dn=bfloat4_b dense_mlp=bfloat8_b,lm_head=HiFi2 attn=LoFi mlp=HiFi2 expert=LoFi router=HiFi4+fp32acc,0.88,1.0,1.0,0.82,1.0,1.0,590.4110399987985,43.479970814394115,34.87545652576126,PASS,"trace-verified teacher-forcing decode (models.common.readiness_check.run_teacher_forcing, enable_trace=True; generator.generate() is required to explicitly accept enable_trace and this path always passes it -- see run_teacher_forcing._require_explicit_generate_kwarg)",python -m models.autoports.zai_org_glm_4_7_flash.tests.dev_datatype_sweep --config-id C08_mlp_hifi2 --mlp-fidelity hifi2 --out doc/datatype_sweep/runs/C08_mlp_hifi2.json,"1x Blackhole p150-class chip (device 0), 11x10 compute grid, 8 DRAM banks",N150 (1x1),"models/autoports/zai_org_glm_4_7_flash/readiness_aime24_chat.refpt (AIME24, chat template, 100 generated tokens)","shared-expert (bfloat4_b) + dense-MLP (bfloat8_b) fidelity LoFi -> HiFi2, both groups together (single class-attribute knob covers both; BFP4+HiFi2/BFP8+HiFi2 vs LoFi pair)",teacher-forced top-1 0.850->0.820 (-0.030 abs) and decode regresses 44.02->43.48 t/s/u (-1.2%). LoFi wins on both axes for this combined group.
C09_dense_mlp_bf4_lofi,REJECTED,expert=bfloat4_b weight=bfloat8_b cache=bfloat8_b lm_head=bfloat8_b attn=bfloat4_b shared_gu=bfloat4_b shared_dn=bfloat4_b expert_gu=bfloat4_b expert_dn=bfloat4_b dense_mlp=bfloat4_b,lm_head=HiFi2 attn=LoFi mlp=LoFi expert=LoFi router=HiFi4+fp32acc,0.85,0.99,1.0,0.87,1.0,1.0,590.8248260002438,44.029061959618176,35.21870212482795,PASS,"trace-verified teacher-forcing decode (models.common.readiness_check.run_teacher_forcing, enable_trace=True; generator.generate() is required to explicitly accept enable_trace and this path always passes it -- see run_teacher_forcing._require_explicit_generate_kwarg)",python -m models.autoports.zai_org_glm_4_7_flash.tests.dev_datatype_sweep --config-id C09_dense_mlp_bf4_lofi --dense-mlp-dtype bf4 --out doc/datatype_sweep/runs/C09_dense_mlp_bf4_lofi.json,"1x Blackhole p150-class chip (device 0), 11x10 compute grid, 8 DRAM banks",N150 (1x1),"models/autoports/zai_org_glm_4_7_flash/readiness_aime24_chat.refpt (AIME24, chat template, 100 generated tokens)","dense-layer MLP (1 of 47 layers) bfloat8_b -> bfloat4_b, fidelity stays LoFi","mixed/noisy accuracy signal at this sample size (prefill top1 0.880->0.850, teacher-forced top1 0.850->0.870) but decode is unchanged within noise (44.02->44.03 t/s/u, +0.02%): only 1 of 47 layers is dense, so there is no full-model speed benefit to justify adopting it regardless of the accuracy question. Matches the decoder-level finding (doc/optimized_decoder/README.md: real-weight 202k dense-control regression, decode@202751 0.99865 vs 0.99993) that already rejected this dtype for the same 1-of-47-layers reason."
