Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
48.35,SparseMatmulDeviceOperation (in0:dram_interleaved),5042.26,2,Compute,,,,,
29.55,MatmulDeviceOperation (in0:dram_interleaved),3081.91,18,Compute,3.47,25.91,13.22,7.45,13.11
4.44,UnaryDeviceOperation (in0:dram_interleaved),463.57,7,Compute,,,,,
4.34,BinaryNgDeviceOperation (in0:dram_interleaved),452.22,14,Compute,,,,,
3.11,PermuteDeviceOperation (in0:dram_interleaved),323.84,2,TM,,,,,
3.10,SliceDeviceOperation (in0:dram_interleaved),323.74,22,TM,,,,,
2.06,LayerNormDeviceOperation (in0:dram_interleaved),215.30,9,Compute,,,,,
1.27,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),132.68,2,TM,,,,,
1.08,SDPAOperation (in0:dram_interleaved),112.37,2,Compute,,,,,
0.85,FastReduceNCDeviceOperation (in0:dram_interleaved),88.13,1,Compute,,,,,
0.59,RotaryEmbeddingLlamaDeviceOperation (in0:dram_interleaved),61.05,4,Compute,,,,,
0.34,ConcatDeviceOperation (in0:dram_interleaved),35.78,4,TM,,,,,
0.24,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),24.61,4,TM,,,,,
0.14,TopKDeviceOperation (in0:dram_interleaved),14.70,1,Other,,,,,
0.13,EmbeddingsDeviceOperation (in0:dram_interleaved),14.05,1,Compute,,,,,
0.10,ReduceDeviceOperation (in0:dram_interleaved),10.15,4,Compute,,,,,
0.09,TypecastDeviceOperation (in0:dram_interleaved),9.29,5,TM,,,,,
0.05,ScatterDeviceOperation (in0:dram_interleaved),5.23,1,Other,,,,,
0.05,FillPadDeviceOperation (in0:dram_interleaved),4.81,1,TM,,,,,
0.04,PagedFillCacheDeviceOperation (in0:dram_interleaved),4.22,2,Other,,,,,
0.04,TransposeDeviceOperation (in0:dram_interleaved),4.00,2,TM,,,,,
0.03,UntilizeCodegenDeviceOperation (in0:dram_interleaved),3.15,1,Other,,,,,
0.02,TilizeDeviceOperation (in0:dram_interleaved),2.47,1,TM,,,,,
