Total % [%],Op Code,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
80.21,MatmulDeviceOperation (in0:dram_interleaved),23716.88,288,Compute,8.24,14.29,9.98,1.59,9.67
5.65,LayerNormDeviceOperation (in0:dram_interleaved),1671.81,75,Compute,,,,,
3.95,SdpaDecodeDeviceOperation (in0:dram_interleaved),1169.32,32,Compute,,,,,
2.28,TransposeDeviceOperation (in0:dram_interleaved),673.09,284,TM,,,,,
2.13,UntilizeCodegenDeviceOperation (in0:dram_interleaved),629.68,101,Other,,,,,
1.29,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),380.13,89,TM,,,,,
1.18,BinaryNgDeviceOperation (in0:dram_interleaved),349.77,96,Compute,,,,,
1.07,ReshapeViewDeviceOperation (in0:dram_interleaved),315.30,64,TM,,,,,
0.55,SliceDeviceOperation (in0:dram_interleaved),162.20,125,TM,,,,,
0.53,UnaryDeviceOperation (in0:dram_interleaved),157.04,32,Compute,,,,,
0.32,ConcatDeviceOperation (in0:dram_interleaved),94.09,64,TM,,,,,
0.27,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),80.24,18,DM,,,,,
0.23,RotaryEmbeddingLlamaDeviceOperation (in0:height_sharded),68.83,37,Compute,,,,,
0.14,EmbeddingsDeviceOperation (in0:dram_interleaved),42.13,38,Compute,,,,,
0.13,InterleavedToShardedDeviceOperation (in0:dram_interleaved),37.60,75,DM,,,,,
0.06,ShardedToInterleavedDeviceOperation (in0:height_sharded),19.07,37,DM,,,,,
