ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count
374,0.11604031190076054,,SliceDeviceOperation,0,22.259,,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,378880.0
375,0.5145571187178565,,LayerNormDeviceOperation,0,38.497,60.206,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,379904.0
376,0.01704190572818124,,SliceDeviceOperation,0,1.286,1.983,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,380928.0
377,0.11729668977793754,,SliceDeviceOperation,0,1.272,21.228,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,381952.0
378,0.6541714586708763,SLOW,MatmulDeviceOperation 1024 x 2048 x 576,0,66.504,58.98,72,116.28244917598941,22.71141585468543,36.327425478166724,36.497943871936414,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,1,2,2,382976.0
379,0.03394305542862895,,SliceDeviceOperation,0,5.972,0.539,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,384000.0
380,0.009660034051489701,,SliceDeviceOperation,0,1.287,0.566,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,385024.0
381,0.12912019610755368,,LayerNormDeviceOperation,0,11.08,13.688,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,386048.0
382,0.17231144387689643,,RotaryEmbeddingLlamaDeviceOperation,0,7.124,25.929,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,387072.0
383,0.21635765418506506,,ConcatDeviceOperation,0,6.44,35.062,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,388096.0
384,0.045683150778847416,,SliceDeviceOperation,0,0.892,7.871,1,,,,,INT32 => INT32,INT32,INT32,nan,False,DEV_1_DRAM_INTERLEAVED,,,,389120.0
385,0.19700630696481156,,PagedFillCacheDeviceOperation,0,6.652,31.138,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,390144.0
