ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
152,0.008102333281591816,,SliceDeviceOperation,0,21.746,,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,153600.0,
153,0.04039504586546216,,LayerNormDeviceOperation,0,38.51,69.907,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,154624.0,
154,0.0029762456660238864,,SliceDeviceOperation,0,1.294,6.694,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,155648.0,
155,0.009235750822408625,,SliceDeviceOperation,0,1.281,23.507,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,156672.0,
156,0.05015391247594007,SLOW,MatmulDeviceOperation 1024 x 2048 x 576,0,67.344,67.265,72,114.832026609646,22.428130197196484,35.87430363506771,36.04269510660577,HiFi4 BF16 x BF16 => BF16,BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,1,2,2,157696.0,"If possible place input 0 in L1 (currently in DEV_1_DRAM_INTERLEAVED) • in0_block_w=1 is small, try in0_block_w=2 or above • HiFi2 may also work, it discards the lowest bit of the activations and has 2x the throughput of HiFi4"
157,0.0024963502707010567,,SliceDeviceOperation,0,6.167,0.533,110,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,158720.0,
158,0.0007615731273601432,,SliceDeviceOperation,0,1.471,0.573,64,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_1_DRAM_INTERLEAVED,,,,159744.0,
159,0.013451974652744917,,LayerNormDeviceOperation,0,11.221,24.883,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,160768.0,
160,0.010956742150821788,,RotaryEmbeddingLlamaDeviceOperation,0,6.881,22.526,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,161792.0,
161,0.014654321268200488,,ConcatDeviceOperation,0,6.188,33.143,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,162816.0,
162,0.004149902882846025,,SliceDeviceOperation,0,0.882,10.256,1,,,,,INT32 => INT32,INT32,INT32,nan,False,DEV_1_DRAM_INTERLEAVED,,,,163840.0,
163,0.014408412137056802,,PagedFillCacheDeviceOperation,0,6.642,32.029,32,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_1_DRAM_INTERLEAVED,,,,164864.0,
