ID,Total %,Bound,OP Code,Device,Device Time,Op-to-Op Gap,Cores,DRAM,DRAM %,FLOPs,FLOPs %,Math Fidelity,Output Datatype,Input 0 Datatype,Input 1 Datatype,DRAM Sharded,Input 0 Memory,Inner Dim Block Size,Output Subblock H,Output Subblock W,Global Call Count,Advice
33787,0.02704589073782088,,SdpaDecodeDeviceOperation,0,11.173,,64,,,,,"BF16, BFP8 => BF16",BFLOAT16,BFLOAT16,BFLOAT8_B,False,DEV_0_L1_HEIGHT_SHARDED,,,,9408512,
33791,0.029408442367652905,,ReduceScatterMinimalAsyncDeviceOperation,0,11.57,0.579,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,9412608,
33792,0.02769220352999829,,AllGatherAsyncDeviceOperation,0,10.874,0.566,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,9413632,
33795,0.007448331316591323,,BinaryNgDeviceOperation,0,2.584,0.493,110,,,,,"BF16, BF16 => BF16",BFLOAT16,BFLOAT16,BFLOAT16,False,DEV_0_L1_WIDTH_SHARDED,,,,9416704,
33796,0.02980542850217386,,AllGatherAsyncDeviceOperation,0,11.813,0.5,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,9417728,
33798,0.38642969224872353,SLOW,MatmulDeviceOperation 32 x 4608 x 18432,0,159.007,0.632,12,267.078355040973,52.16374121894004,34.18602944524455,51.519744413767945,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,True,DEV_0_L1_WIDTH_SHARDED,3,,,9419776,No output subblock size found • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
33799,0.3872987045797785,SLOW,MatmulDeviceOperation 32 x 4608 x 18432,0,159.402,0.596,12,266.416531787556,52.03447886475703,34.101316068807165,51.39207789111806,LoFi BF16 x BFP4 => BF16,BFLOAT16,BFLOAT16,BFLOAT4_B,True,DEV_0_L1_WIDTH_SHARDED,3,,,9420800,No output subblock size found • Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
33801,0.008612662601375342,,ReshardDeviceOperation,0,2.959,0.599,48,,,,,BFP8 => BFP8,BFLOAT8_B,BFLOAT8_B,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,9422848,
33802,0.3983731653446161,SLOW,MatmulDeviceOperation 32 x 18432 x 4608,0,164.081,0.492,12,258.8192904723886,50.5506426703884,33.12886918046575,49.92656066211201,LoFi BFP8 x BFP4 => BF16,BFLOAT16,BFLOAT8_B,BFLOAT4_B,True,DEV_0_L1_WIDTH_SHARDED,6,,,9423872,No output subblock size found
33803,0.029040503999072508,,ReduceScatterMinimalAsyncDeviceOperation,0,11.384,0.613,10,,,,,BF16 => BF16,BFLOAT16,BFLOAT16,nan,False,DEV_0_L1_WIDTH_SHARDED,,,,9424896,
