slot,repetition,start,end,tokens,prompt_chunk_wall_seconds,forward_wall_seconds,upload_and_sync_wall_seconds
0,0,0,1024,1024,0.5492597010015743,0.5481544569920516,0.0011052440095227212
0,0,1024,2048,1024,0.5582317030057311,0.5572130090004066,0.0010186940053245053
0,0,2048,3072,1024,0.550991921001696,0.5499729059956735,0.0010190150060225278
0,0,3072,4096,1024,0.5518446849891916,0.5508200109907193,0.0010246739984722808
0,0,4096,5120,1024,0.5517793270119,0.5507430560101056,0.0010362710017943755
0,0,5120,6144,1024,0.5470402990031289,0.5459783699916443,0.001061929011484608
0,0,6144,7168,1024,0.5440130210045027,0.5430687390035018,0.000944282001000829
0,0,7168,8192,1024,0.543758728003013,0.542734646005556,0.0010240819974569604
0,0,8192,9216,1024,0.5452132189966505,0.5441266419948079,0.0010865770018426701
0,0,9216,10240,1024,0.5438015729887411,0.5427860839990899,0.0010154889896512032
0,0,10240,11264,1024,0.5441509199881693,0.5431237329903524,0.001027186997816898
0,0,11264,12288,1024,0.5426195640029619,0.54162015899783,0.0009994050051318482
0,0,12288,13312,1024,0.5446340380003676,0.5436089840077329,0.0010250539926346391
0,0,13312,14336,1024,0.5439167279982939,0.5429217700002482,0.0009949579980457202
0,0,14336,15360,1024,0.5427330050006276,0.5416888019972248,0.0010442030034027994
0,0,15360,16384,1024,0.5307916909951018,0.5297272280004108,0.0010644629946909845
1,0,0,1024,1024,0.553969333996065,0.5528291070077103,0.0011402269883546978
1,0,1024,2048,1024,0.5472919570020167,0.5463166580011602,0.0009752990008564666
1,0,2048,3072,1024,0.5521897439903114,0.5511655610025628,0.0010241829877486452
1,0,3072,4096,1024,0.5458513379999204,0.5447705010010395,0.0010808369988808408
1,0,4096,5120,1024,0.5461566979938652,0.545149280995247,0.0010074169986182824
1,0,5120,6144,1024,0.5442476030002581,0.5432659450016217,0.000981657998636365
1,0,6144,7168,1024,0.5453466390026733,0.5442998820071807,0.0010467569954926148
1,0,7168,8192,1024,0.552119710991974,0.5510746770014521,0.0010450339905219153
1,0,8192,9216,1024,0.5554841779958224,0.5544413269963115,0.001042850999510847
1,0,9216,10240,1024,0.5590169990027789,0.5579623899975559,0.0010546090052230284
1,0,10240,11264,1024,0.5556082630064338,0.5545387720048893,0.0010694910015445203
1,0,11264,12288,1024,0.5490255409968086,0.5479925949912285,0.0010329460055800155
1,0,12288,13312,1024,0.5440760880010203,0.5430310340016149,0.0010450539994053543
1,0,13312,14336,1024,0.544463040001574,0.5433972750033718,0.0010657649982022122
1,0,14336,15360,1024,0.5437135120009771,0.5426663350081071,0.001047176992869936
1,0,15360,16384,1024,0.5340205040120054,0.5329320349992486,0.001088469012756832
0,1,0,1024,1024,0.5506471600092482,0.5495447200082708,0.0011024400009773672
0,1,1024,2048,1024,0.5489351809956133,0.5478852899977937,0.0010498909978196025
0,1,2048,3072,1024,0.5488309350039344,0.5477803429967025,0.0010505920072318986
0,1,3072,4096,1024,0.5506218430091394,0.5495539039984578,0.0010679390106815845
0,1,4096,5120,1024,0.5505666200042469,0.5481812380021438,0.0023853820021031424
0,1,5120,6144,1024,0.5483647439978085,0.5473017629992682,0.0010629809985402972
0,1,6144,7168,1024,0.5498054739873623,0.546696831996087,0.0031086419912753627
0,1,7168,8192,1024,0.5468824020063039,0.5458122599957278,0.0010701420105760917
0,1,8192,9216,1024,0.545525497989729,0.5444835489906836,0.0010419489990454167
0,1,9216,10240,1024,0.5464932359900558,0.5454495750018395,0.0010436609882162884
0,1,10240,11264,1024,0.5502008409966948,0.5491350060037803,0.0010658349929144606
0,1,11264,12288,1024,0.5444069350050995,0.5433707040065201,0.0010362309985794127
0,1,12288,13312,1024,0.5458014860050753,0.5447708230058197,0.0010306629992555827
0,1,13312,14336,1024,0.5439528720016824,0.5429363710136386,0.0010165009880438447
0,1,14336,15360,1024,0.5434526489989366,0.5424110099993413,0.0010416389995953068
0,1,15360,16384,1024,0.5327507609908935,0.5317125869914889,0.0010381739994045347
1,1,0,1024,1024,0.5501525540021248,0.5490282809914788,0.001124273010645993
1,1,1024,2048,1024,0.5473342100012815,0.5463113089936087,0.0010229010076727718
1,1,2048,3072,1024,0.5469973930012202,0.5460070319968509,0.0009903610043693334
1,1,3072,4096,1024,0.5471627520018956,0.5461695760022849,0.0009931759996106848
1,1,4096,5120,1024,0.5466543470101897,0.5456562239996856,0.0009981230105040595
1,1,5120,6144,1024,0.5463083159993403,0.5452947490121005,0.0010135669872397557
1,1,6144,7168,1024,0.5513367490057135,0.5503484010114335,0.0009883479942800477
1,1,7168,8192,1024,0.5631596160092158,0.5549597860081121,0.008199830001103692
1,1,8192,9216,1024,0.5518147099937778,0.550825590005843,0.0009891199879348278
1,1,9216,10240,1024,0.5511938859999646,0.5502091520029353,0.0009847339970292524
1,1,10240,11264,1024,0.5481813590013189,0.547189345001243,0.0009920140000758693
1,1,11264,12288,1024,0.5542108800000278,0.5512208669970278,0.0029900130030000582
1,1,12288,13312,1024,0.5508812049956759,0.5499045439937618,0.0009766610019141808
1,1,13312,14336,1024,0.5509261830011383,0.5499432030046592,0.0009829799964791164
1,1,14336,15360,1024,0.5505089549988043,0.5495275160064921,0.000981438992312178
1,1,15360,16384,1024,0.5394609459908679,0.5384738099965034,0.0009871359943645075
0,2,0,1024,1024,0.5520413979975274,0.5509440250025364,0.0010973729949910194
0,2,1024,2048,1024,0.5486646330100484,0.5476382270135218,0.0010264059965265915
0,2,2048,3072,1024,0.5489296629966702,0.5479222550056875,0.001007407990982756
0,2,3072,4096,1024,0.5491179360105889,0.5481250099983299,0.0009929260122589767
0,2,4096,5120,1024,0.5487304319976829,0.5477401210082462,0.0009903109894366935
0,2,5120,6144,1024,0.5504516549990512,0.5494448289973661,0.0010068260016851127
0,2,6144,7168,1024,0.5481407350016525,0.5471429220051505,0.0009978129965020344
0,2,7168,8192,1024,0.5465317810012493,0.5455301730107749,0.0010016079904744402
0,2,8192,9216,1024,0.546844273005263,0.545845389002352,0.000998884002910927
0,2,9216,10240,1024,0.5465869049949106,0.5456119070004206,0.0009749979944899678
0,2,10240,11264,1024,0.5467697809945093,0.5457686540030409,0.0010011269914684817
0,2,11264,12288,1024,0.5466732860077173,0.5455582270078594,0.0011150589998578653
0,2,12288,13312,1024,0.5469466990034562,0.5459735030017328,0.0009731960017234087
0,2,13312,14336,1024,0.5570445670018671,0.5555205609998666,0.001524006002000533
0,2,14336,15360,1024,0.5509130420105066,0.5499050140060717,0.001008028004434891
0,2,15360,16384,1024,0.5437313959992025,0.5427612549974583,0.0009701410017441958
1,2,0,1024,1024,0.5528998700028751,0.5516571080079302,0.0012427619949448854
1,2,1024,2048,1024,0.5485586620052345,0.5475560420018155,0.001002620003418997
1,2,2048,3072,1024,0.5514146729983622,0.5504078170051798,0.0010068559931823984
1,2,3072,4096,1024,0.5496706270059804,0.5487210670107743,0.0009495599952060729
1,2,4096,5120,1024,0.549315212003421,0.5483763980009826,0.0009388140024384484
1,2,5120,6144,1024,0.5490486810012953,0.5481055700074648,0.0009431109938304871
1,2,6144,7168,1024,0.5484918820002349,0.5475191669975175,0.0009727150027174503
1,2,7168,8192,1024,0.5482635679945815,0.5472338079998735,0.0010297599947080016
1,2,8192,9216,1024,0.5486366709956201,0.5476312959945062,0.0010053750011138618
1,2,9216,10240,1024,0.5475919180025812,0.5466231790051097,0.0009687389974715188
1,2,10240,11264,1024,0.5472177040064707,0.5462136819987791,0.001004022007691674
1,2,11264,12288,1024,0.547927844003425,0.5469210279989056,0.0010068160045193508
1,2,12288,13312,1024,0.5490762639965396,0.54809520598792,0.0009810580086195841
1,2,13312,14336,1024,0.5510538630041992,0.5500702209974406,0.0009836420067586005
1,2,14336,15360,1024,0.5471086610050406,0.5462023760046577,0.0009062850003829226
1,2,15360,16384,1024,0.5344625049910974,0.5334516119910404,0.0010108930000569671
