device_config,op_type,use_case,M,K,N,core_grid,M_block,K_block,N_block,subblock_h,subblock_w,device_kernel_duration_ns,status
wh_4x8,agmm,qkv,1024,768,4608,8x8,1,1,1,1,1,1546530,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,1,1,2,1,2,1021386,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,1,1,3,1,3,869299,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,1,1,4,1,4,829396,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,1,1,6,1,3,754946,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,1,1,8,1,4,751191,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,1,1,12,1,4,728806,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,1,1,16,1,4,784683,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,1,3,1,1,1,1027703,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,1,3,2,1,2,844809,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,1,3,3,1,3,771166,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,1,3,4,1,4,758839,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,1,3,6,1,3,717471,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,1,3,8,1,4,729858,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,1,3,12,1,4,739033,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,1,3,16,1,4,729251,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,2,1,1,2,1,916524,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,2,1,2,2,2,598702,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,2,1,3,1,3,522722,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,2,1,4,1,4,510946,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,2,1,6,2,2,450234,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,2,1,8,1,4,467250,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,2,1,12,1,4,458330,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,2,1,16,1,4,497963,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,2,3,1,2,1,664597,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,2,3,2,2,2,504780,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,2,3,3,1,3,464060,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,2,3,4,1,4,455750,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,2,3,6,2,2,430013,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,2,3,8,1,4,437559,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,2,3,12,1,4,425491,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,2,3,16,1,4,443146,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,3,1,1,3,1,1038092,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,3,1,2,3,1,670243,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,3,1,3,1,3,565767,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,3,1,4,1,4,554849,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,3,1,6,1,3,493441,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,3,1,8,1,4,475735,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,3,1,12,1,4,453536,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,3,1,16,1,4,487478,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,3,3,1,3,1,739291,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,3,3,2,3,1,550588,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,3,3,3,1,3,484729,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,3,3,4,1,4,475645,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,3,3,6,1,3,443272,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,3,3,8,1,4,445159,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,3,3,12,1,4,439742,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,3,3,16,1,4,436419,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,4,1,1,4,1,797885,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,4,1,2,2,2,543839,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,4,1,3,4,1,468878,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,4,1,4,1,4,457900,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,4,1,6,2,2,410590,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,4,1,8,1,4,384756,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,4,1,12,1,4,387332,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,4,1,16,1,4,416804,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,4,3,1,4,1,619166,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,4,3,2,2,2,444125,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,4,3,3,4,1,400800,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,4,3,4,1,4,387618,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,4,3,6,2,2,367729,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,4,3,8,1,4,376742,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,4,3,12,1,4,370774,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,4,3,16,1,4,372441,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,1,1,1,1,802941,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,1,2,1,2,552269,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,1,3,1,3,469551,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,1,4,1,4,455557,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,1,6,1,3,400166,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,1,8,1,4,386444,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,1,12,1,4,386808,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,1,16,1,4,415219,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,3,1,1,1,622725,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,3,2,1,2,452511,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,3,3,1,3,402662,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,3,4,1,4,392299,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,3,6,1,3,374425,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,3,8,1,4,379717,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,3,12,1,4,370303,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,5,3,16,1,4,380303,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,1,1,3,1,821542,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,1,2,2,2,546169,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,1,3,1,3,462904,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,1,4,1,4,458135,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,1,6,2,2,401656,OK
wh_4x8,agmm,qkv,1024,768,4608,8x8,6,1,8,1,4,388063,OK
