run,layer,mode,operation,mean_device_max_ms,median_device_max_ms,p90_device_max_ms,minimum_device_mean_ms,maximum_device_mean_ms,device_mean_spread_ms,retained_iterations,worker_sha256,routing_case_sha256
run-layer18-captured-FfQ27z,18,captured,DispatchDeviceOperation,1.656553,1.656191,1.664483,1.6242593333333333,1.656553,0.032293666666666665,9,ec4b970740f4a02cd4bac913911dabf589bd8eb2b2af4c7224a02940b0709e01,7481019521e2c81fd448f3443a6125ef7a9088bfbc6ae1d4c3bdc9e7a5874a43
run-layer18-captured-FfQ27z,18,captured,CombineDeviceOperation,1.7257594444444444,1.72579,1.732639,1.699394,1.724136111111111,0.02474211111111102,9,ec4b970740f4a02cd4bac913911dabf589bd8eb2b2af4c7224a02940b0709e01,7481019521e2c81fd448f3443a6125ef7a9088bfbc6ae1d4c3bdc9e7a5874a43
run-layer18-captured-oywqw8,18,captured,DispatchDeviceOperation,1.6616062222222223,1.661018,1.672732,1.6229348888888888,1.6616062222222223,0.0386713333333335,9,ec4b970740f4a02cd4bac913911dabf589bd8eb2b2af4c7224a02940b0709e01,7481019521e2c81fd448f3443a6125ef7a9088bfbc6ae1d4c3bdc9e7a5874a43
run-layer18-captured-oywqw8,18,captured,CombineDeviceOperation,1.720989111111111,1.722851,1.72837,1.6976286666666667,1.7200103333333334,0.022381666666666744,9,ec4b970740f4a02cd4bac913911dabf589bd8eb2b2af4c7224a02940b0709e01,7481019521e2c81fd448f3443a6125ef7a9088bfbc6ae1d4c3bdc9e7a5874a43
run-layer18-placement_balanced-80cPJm,18,placement_balanced,DispatchDeviceOperation,1.6271084444444444,1.62515,1.640467,1.5919296666666667,1.6270755555555556,0.03514588888888892,9,ec4b970740f4a02cd4bac913911dabf589bd8eb2b2af4c7224a02940b0709e01,af73f39092db11d5fac9f46af3b3307f9c056cecac4c7ad643a3bdd3a919d017
run-layer18-placement_balanced-80cPJm,18,placement_balanced,CombineDeviceOperation,1.0595025555555555,1.059553,1.070102,1.0361567777777778,1.057879888888889,0.021723111111111137,9,ec4b970740f4a02cd4bac913911dabf589bd8eb2b2af4c7224a02940b0709e01,af73f39092db11d5fac9f46af3b3307f9c056cecac4c7ad643a3bdd3a919d017
run-layer18-placement_balanced-Q6NQuD,18,placement_balanced,DispatchDeviceOperation,1.6217534444444444,1.617545,1.635889,1.5935514444444445,1.6217534444444444,0.02820199999999984,9,ec4b970740f4a02cd4bac913911dabf589bd8eb2b2af4c7224a02940b0709e01,af73f39092db11d5fac9f46af3b3307f9c056cecac4c7ad643a3bdd3a919d017
run-layer18-placement_balanced-Q6NQuD,18,placement_balanced,CombineDeviceOperation,1.0651352222222221,1.063076,1.078199,1.0388347777777778,1.0636809999999999,0.024846222222222103,9,ec4b970740f4a02cd4bac913911dabf589bd8eb2b2af4c7224a02940b0709e01,af73f39092db11d5fac9f46af3b3307f9c056cecac4c7ad643a3bdd3a919d017
run-layer18-source_shuffled-kU8nKy,18,source_shuffled,DispatchDeviceOperation,1.658264888888889,1.659311,1.662399,1.6266823333333333,1.658264888888889,0.03158255555555556,9,ec4b970740f4a02cd4bac913911dabf589bd8eb2b2af4c7224a02940b0709e01,6fc5a3a1336408baa954daf74a6a7efd3476a59b7e04fe7960b43871edd71141
run-layer18-source_shuffled-kU8nKy,18,source_shuffled,CombineDeviceOperation,1.65433,1.649806,1.670062,1.624046111111111,1.6522717777777778,0.028225666666666704,9,ec4b970740f4a02cd4bac913911dabf589bd8eb2b2af4c7224a02940b0709e01,6fc5a3a1336408baa954daf74a6a7efd3476a59b7e04fe7960b43871edd71141
