dm	latent	label	sp	per_dev	q	k	chunk_size	d_v	duration_ms	util	cores	status
on	1	C1	8	640	32	256	5120	512	7.034	56.0	110	OK
on	1	C1	8	640	32	384	5120	512	7.083	55.6	110	OK
on	1	C1	8	640	32	512	5120	512	6.847	57.5	110	OK
on	1	C1	8	640	32	640	5120	512	NA	NA	NA	OOM
on	1	C1	8	640	32	768	5120	512	NA	NA	NA	OOM
on	1	C2	4	1280	64	256	5120	512	12.358	63.7	110	OK
on	1	C2	4	1280	64	384	5120	512	11.903	66.2	110	OK
on	1	C2	4	1280	64	512	5120	512	NA	NA	NA	OOM
on	1	C2	4	1280	64	640	5120	512	NA	NA	NA	OOM
on	1	C2	4	1280	64	768	5120	512	NA	NA	NA	OOM
on	1	C3	4	1248	96	256	4992	512	11.169	67.0	110	OK
on	1	C3	4	1248	96	384	4992	512	NA	NA	NA	OOM
on	1	C3	4	1248	96	512	4992	512	NA	NA	NA	OOM
on	1	C3	4	1248	96	640	4992	512	NA	NA	NA	OOM
on	1	C3	4	1248	96	768	4992	512	NA	NA	NA	OOM
on	1	C4	8	640	128	256	5120	512	7.548	52.2	110	OK
on	1	C4	8	640	128	384	5120	512	NA	NA	NA	OOM
on	1	C4	8	640	128	512	5120	512	NA	NA	NA	OOM
on	1	C4	8	640	128	640	5120	512	NA	NA	NA	OOM
on	1	C4	8	640	128	768	5120	512	NA	NA	NA	OOM
on	1	C5	8	640	64	256	5120	512	8.406	46.9	110	OK
on	1	C5	8	640	64	384	5120	512	8.116	48.5	110	OK
on	1	C5	8	640	64	512	5120	512	NA	NA	NA	OOM
on	1	C5	8	640	64	640	5120	512	NA	NA	NA	OOM
on	1	C5	8	640	64	768	5120	512	NA	NA	NA	OOM
on	1	C6	8	640	96	256	5120	512	11.398	34.6	110	OK
on	1	C6	8	640	96	384	5120	512	NA	NA	NA	OOM
on	1	C6	8	640	96	512	5120	512	NA	NA	NA	OOM
on	1	C6	8	640	96	640	5120	512	NA	NA	NA	OOM
on	1	C6	8	640	96	768	5120	512	NA	NA	NA	OOM
on	1	C7	8	640	160	256	5120	512	NA	NA	NA	OOM
on	1	C7	8	640	160	384	5120	512	NA	NA	NA	OOM
on	1	C7	8	640	160	512	5120	512	NA	NA	NA	OOM
on	1	C7	8	640	160	640	5120	512	NA	NA	NA	OOM
on	1	C7	8	640	160	768	5120	512	NA	NA	NA	OOM
on	1	C8	8	640	192	256	5120	512	NA	NA	NA	OOM
on	1	C8	8	640	192	384	5120	512	NA	NA	NA	OOM
on	1	C8	8	640	192	512	5120	512	NA	NA	NA	OOM
on	1	C8	8	640	192	640	5120	512	NA	NA	NA	OOMskip
on	1	C8	8	640	192	768	5120	512	NA	NA	NA	OOMskip
off	1	C1	8	640	32	256	5120	512	6.393	61.6	110	OK
off	1	C1	8	640	32	384	5120	512	6.037	65.2	110	OK
off	1	C1	8	640	32	512	5120	512	5.796	68.0	110	OK
off	1	C1	8	640	32	640	5120	512	NA	NA	NA	OOM
off	1	C1	8	640	32	768	5120	512	NA	NA	NA	OOMskip
off	1	C2	4	1280	64	256	5120	512	12.260	64.3	110	OK
off	1	C2	4	1280	64	384	5120	512	11.794	66.8	110	OK
off	1	C2	4	1280	64	512	5120	512	NA	NA	NA	OOM
off	1	C2	4	1280	64	640	5120	512	NA	NA	NA	OOMskip
off	1	C2	4	1280	64	768	5120	512	NA	NA	NA	OOMskip
off	1	C3	4	1248	96	256	4992	512	11.007	68.0	110	OK
off	1	C3	4	1248	96	384	4992	512	NA	NA	NA	OOM
off	1	C3	4	1248	96	512	4992	512	NA	NA	NA	OOMskip
off	1	C3	4	1248	96	640	4992	512	NA	NA	NA	OOMskip
off	1	C3	4	1248	96	768	4992	512	NA	NA	NA	OOMskip
off	1	C4	8	640	128	256	5120	512	7.331	53.7	110	OK
off	1	C4	8	640	128	384	5120	512	NA	NA	NA	OOM
off	1	C4	8	640	128	512	5120	512	NA	NA	NA	OOMskip
off	1	C4	8	640	128	640	5120	512	NA	NA	NA	OOMskip
off	1	C4	8	640	128	768	5120	512	NA	NA	NA	OOMskip
off	1	C5	8	640	64	256	5120	512	8.241	47.8	110	OK
off	1	C5	8	640	64	384	5120	512	7.907	49.8	110	OK
off	1	C5	8	640	64	512	5120	512	NA	NA	NA	OOM
off	1	C5	8	640	64	640	5120	512	NA	NA	NA	OOMskip
off	1	C5	8	640	64	768	5120	512	NA	NA	NA	OOMskip
off	1	C6	8	640	96	256	5120	512	11.317	34.8	110	OK
off	1	C6	8	640	96	384	5120	512	NA	NA	NA	OOM
off	1	C6	8	640	96	512	5120	512	NA	NA	NA	OOMskip
off	1	C6	8	640	96	640	5120	512	NA	NA	NA	OOMskip
off	1	C6	8	640	96	768	5120	512	NA	NA	NA	OOMskip
off	1	C7	8	640	160	256	5120	512	NA	NA	NA	OOM
off	1	C7	8	640	160	384	5120	512	NA	NA	NA	OOMskip
off	1	C7	8	640	160	512	5120	512	NA	NA	NA	OOMskip
off	1	C7	8	640	160	640	5120	512	NA	NA	NA	OOMskip
off	1	C7	8	640	160	768	5120	512	NA	NA	NA	OOMskip
off	1	C8	8	640	192	256	5120	512	NA	NA	NA	OOM
off	1	C8	8	640	192	384	5120	512	NA	NA	NA	OOMskip
off	1	C8	8	640	192	512	5120	512	NA	NA	NA	OOMskip
off	1	C8	8	640	192	640	5120	512	NA	NA	NA	OOMskip
off	1	C8	8	640	192	768	5120	512	NA	NA	NA	OOMskip
