csv,activation,method,degree,segments,precision,bf16_maxulp,runtime_us,compiles,range
abs_n10d1_s1_uniform_rational_ulp.csv,abs,rational,10d1,1,fp32,16777216.00,3.14,1,[-128.0,128.0]
abs_n10d3_s1_uniform_rational_ulp.csv,abs,rational,10d3,1,fp32,16777216.00,3.11,1,[-128.0,128.0]
abs_n10d5_s1_uniform_rational_ulp.csv,abs,rational,10d5,1,fp32,16777216.00,3.19,1,[-128.0,128.0]
abs_n11d1_s1_uniform_rational_ulp.csv,abs,rational,11d1,1,fp32,16777216.00,3.27,1,[-128.0,128.0]
abs_n11d3_s1_uniform_rational_ulp.csv,abs,rational,11d3,1,fp32,16777216.00,3.19,1,[-128.0,128.0]
abs_n11d5_s1_uniform_rational_ulp.csv,abs,rational,11d5,1,fp32,16777216.00,3.17,1,[-128.0,128.0]
abs_n12d2_s1_uniform_rational_ulp.csv,abs,rational,12d2,1,fp32,16777216.00,3.22,1,[-128.0,128.0]
abs_n12d4_s1_uniform_rational_ulp.csv,abs,rational,12d4,1,fp32,16777216.00,3.21,1,[-128.0,128.0]
abs_n13d2_s1_uniform_rational_ulp.csv,abs,rational,13d2,1,fp32,16777216.00,3.26,1,[-128.0,128.0]
abs_n14d1_s1_uniform_rational_ulp.csv,abs,rational,14d1,1,fp32,16777216.00,3.28,1,[-128.0,128.0]
abs_n15d1_s1_uniform_rational_ulp.csv,abs,rational,15d1,1,fp32,16777216.00,3.30,1,[-128.0,128.0]
abs_n1d1_s2_uniform_rational_max.csv,abs,rational,1d1,2,fp32,0.00,3.15,1,[-128.0,128.0]
abs_n2d2_s1_uniform_rational_ulp.csv,abs,rational,2d2,1,fp32,16777216.00,2.99,1,[-128.0,128.0]
abs_n3d2_s1_uniform_rational_ulp.csv,abs,rational,3d2,1,fp32,16777216.00,3.02,1,[-128.0,128.0]
abs_n4d1_s1_uniform_rational_ulp.csv,abs,rational,4d1,1,fp32,16777216.00,3.03,1,[-128.0,128.0]
abs_n4d3_s1_uniform_rational_ulp.csv,abs,rational,4d3,1,fp32,16777216.00,3.05,1,[-128.0,128.0]
abs_n5d1_s1_uniform_rational_ulp.csv,abs,rational,5d1,1,fp32,16777216.00,3.06,1,[-128.0,128.0]
abs_n5d3_s1_uniform_rational_ulp.csv,abs,rational,5d3,1,fp32,16777216.00,3.11,1,[-128.0,128.0]
abs_n5d5_s1_uniform_rational_ulp.csv,abs,rational,5d5,1,fp32,16777216.00,3.07,1,[-128.0,128.0]
abs_n6d2_s1_uniform_rational_ulp.csv,abs,rational,6d2,1,fp32,16777216.00,3.09,1,[-128.0,128.0]
abs_n6d4_s1_uniform_rational_ulp.csv,abs,rational,6d4,1,fp32,16777216.00,3.07,1,[-128.0,128.0]
abs_n6d6_s1_uniform_rational_ulp.csv,abs,rational,6d6,1,fp32,16777216.00,3.10,1,[-128.0,128.0]
abs_n7d2_s1_uniform_rational_ulp.csv,abs,rational,7d2,1,fp32,16777216.00,3.10,1,[-128.0,128.0]
abs_n7d4_s1_uniform_rational_ulp.csv,abs,rational,7d4,1,fp32,16777216.00,3.13,1,[-128.0,128.0]
abs_n7d6_s1_uniform_rational_ulp.csv,abs,rational,7d6,1,fp32,16777216.00,3.12,1,[-128.0,128.0]
abs_n8d1_s1_uniform_rational_ulp.csv,abs,rational,8d1,1,fp32,16777216.00,3.10,1,[-128.0,128.0]
abs_n8d3_s1_uniform_rational_ulp.csv,abs,rational,8d3,1,fp32,16777216.00,3.15,1,[-128.0,128.0]
abs_n8d5_s1_uniform_rational_ulp.csv,abs,rational,8d5,1,fp32,16777216.00,3.13,1,[-128.0,128.0]
abs_n8d7_s1_uniform_rational_ulp.csv,abs,rational,8d7,1,fp32,16777216.00,3.15,1,[-128.0,128.0]
abs_n9d1_s1_uniform_rational_ulp.csv,abs,rational,9d1,1,fp32,16777216.00,3.18,1,[-128.0,128.0]
abs_n9d3_s1_uniform_rational_ulp.csv,abs,rational,9d3,1,fp32,16777216.00,3.18,1,[-128.0,128.0]
abs_n9d5_s1_uniform_rational_ulp.csv,abs,rational,9d5,1,fp32,16777216.00,3.16,1,[-128.0,128.0]
abs_n9d7_s1_uniform_rational_ulp.csv,abs,rational,9d7,1,fp32,16777216.00,3.18,1,[-128.0,128.0]
abs_p10_s3_uniform_any_ulp.csv,abs,poly,10,3,fp32,0.00,3.34,1,[-128.0,128.0]
abs_p11_s3_uniform_any_ulp.csv,abs,poly,11,3,fp32,0.00,3.41,1,[-128.0,128.0]
abs_p13_s1_uniform_any_ulp.csv,abs,poly,13,1,fp32,16777216.00,1.85,1,[-128.0,128.0]
abs_p16_s1_uniform_any_ulp.csv,abs,poly,16,1,fp32,4292409.47,3.62,1,[-128.0,128.0]
abs_p1_s2_chebyshev_any_max.csv,abs,poly,1,2,fp32,0.00,2.92,1,[-128.0,128.0]
abs_p1_s2_curvature_any_ulp.csv,abs,poly,1,2,fp32,0.00,2.98,1,[-128.0,128.0]
abs_p1_s4_uniform_any_ulp.csv,abs,poly,1,4,fp32,0.00,3.17,1,[-128.0,128.0]
abs_p2_s2_uniform_any_ulp.csv,abs,poly,2,2,fp32,0.00,2.90,1,[-128.0,128.0]
abs_p2_s8_uniform_any_ulp.csv,abs,poly,2,8,fp32,0.00,3.90,1,[-128.0,128.0]
abs_p3_s32_uniform_any_ulp.csv,abs,poly,3,32,fp32,0.00,13.62,1,[-128.0,128.0]
abs_p4_s16_uniform_any_ulp.csv,abs,poly,4,16,fp32,0.00,7.45,1,[-128.0,128.0]
abs_p4_s3_uniform_any_ulp.csv,abs,poly,4,3,fp32,0.00,3.10,1,[-128.0,128.0]
abs_p5_s1_uniform_any_ulp.csv,abs,poly,5,1,fp32,16777216.00,1.90,1,[-128.0,128.0]
abs_p5_s4_uniform_any_ulp.csv,abs,poly,5,4,fp32,0.00,3.36,1,[-128.0,128.0]
abs_p6_s2_uniform_any_ulp.csv,abs,poly,6,2,fp32,0.00,2.99,1,[-128.0,128.0]
abs_p7_s16_uniform_any_ulp.csv,abs,poly,7,16,fp32,0.00,9.61,1,[-128.0,128.0]
abs_p7_s4_uniform_any_ulp.csv,abs,poly,7,4,fp32,0.00,3.47,1,[-128.0,128.0]
abs_p8_s3_uniform_any_ulp.csv,abs,poly,8,3,fp32,0.00,3.27,1,[-128.0,128.0]
abs_p9_s2_uniform_any_ulp.csv,abs,poly,9,2,fp32,0.00,3.05,1,[-128.0,128.0]
acos_n10d1_s1_uniform_rational_ulp.csv,acos,rational,10d1,1,fp32,31804.00,4.10,1,[-0.99,0.99]
acos_n10d3_s1_uniform_rational_ulp.csv,acos,rational,10d3,1,fp32,1770.00,4.42,1,[-0.99,0.99]
acos_n10d6_s1_uniform_rational_ulp.csv,acos,rational,10d6,1,fp32,1008.62,4.90,1,[-0.99,0.99]
acos_n11d2_s1_uniform_rational_ulp.csv,acos,rational,11d2,1,fp32,5300.00,4.43,1,[-0.99,0.99]
acos_n11d4_s1_uniform_rational_ulp.csv,acos,rational,11d4,1,fp32,1005.00,4.75,1,[-0.99,0.99]
acos_n12d1_s2_uniform_rational_ulp.csv,acos,rational,12d1,2,fp32,118607.91,6.94,1,[-0.99,0.99]
acos_n12d4_s1_uniform_rational_ulp.csv,acos,rational,12d4,1,fp32,352.00,4.91,1,[-0.99,0.99]
acos_n13d2_s1_uniform_rational_ulp.csv,acos,rational,13d2,1,fp32,2787.00,4.75,1,[-0.99,0.99]
acos_n14d1_s1_uniform_rational_ulp.csv,acos,rational,14d1,1,fp32,11511.00,4.76,1,[-0.99,0.99]
acos_n15d1_s1_uniform_rational_ulp.csv,acos,rational,15d1,1,fp32,9136.00,4.91,1,[-0.99,0.99]
acos_n2d1_s2_uniform_rational_ulp.csv,acos,rational,2d1,2,fp32,96264.50,3.74,1,[-0.99,0.99]
acos_n3d1_s2_uniform_rational_ulp.csv,acos,rational,3d1,2,fp32,48346.50,4.02,1,[-0.99,0.99]
acos_n3d3_s2_uniform_rational_ulp.csv,acos,rational,3d3,2,fp32,3515.00,4.64,1,[-0.99,0.99]
acos_n4d2_s2_uniform_rational_ulp.csv,acos,rational,4d2,2,fp32,3517.00,4.65,1,[-0.99,0.99]
acos_n4d4_s1_uniform_rational_ulp.csv,acos,rational,4d4,1,fp32,20153.00,3.69,1,[-0.99,0.99]
acos_n5d1_s2_uniform_rational_ulp.csv,acos,rational,5d1,2,fp32,11564.50,4.63,1,[-0.99,0.99]
acos_n5d3_s2_uniform_rational_ulp.csv,acos,rational,5d3,2,fp32,1353.00,5.29,1,[-0.99,0.99]
acos_n5d5_s2_uniform_rational_ulp.csv,acos,rational,5d5,2,fp32,12356.44,5.94,1,[-0.99,0.99]
acos_n6d3_s1_uniform_rational_ulp.csv,acos,rational,6d3,1,fp32,11107.00,3.82,1,[-0.99,0.99]
acos_n6d5_s2_uniform_rational_ulp.csv,acos,rational,6d5,2,fp32,26586.00,6.33,1,[-0.99,0.99]
acos_n7d1_s2_uniform_rational_ulp.csv,acos,rational,7d1,2,fp32,3840.00,5.28,1,[-0.99,0.99]
acos_n7d3_s2_uniform_rational_ulp.csv,acos,rational,7d3,2,fp32,8841.00,5.95,1,[-0.99,0.99]
acos_n7d6_s1_uniform_rational_max.csv,acos,rational,7d6,1,fp32,2405.00,4.42,1,[-0.99,0.99]
acos_n7d7_s1_uniform_rational_ulp.csv,acos,rational,7d7,1,fp32,621.81,4.58,1,[-0.99,0.99]
acos_n8d2_s1_uniform_rational_ulp.csv,acos,rational,8d2,1,fp32,16229.00,3.95,1,[-0.99,0.99]
acos_n8d4_s1_uniform_rational_ulp.csv,acos,rational,8d4,1,fp32,1693.00,4.26,1,[-0.99,0.99]
acos_n8d6_s2_uniform_rational_ulp.csv,acos,rational,8d6,2,fp32,15418491.31,7.26,1,[-0.99,0.99]
acos_n9d1_s2_uniform_rational_ulp.csv,acos,rational,9d1,2,fp32,1699.81,5.94,1,[-0.99,0.99]
acos_n9d3_s2_uniform_rational_ulp.csv,acos,rational,9d3,2,fp32,18918.00,6.61,1,[-0.99,0.99]
acos_n9d5_s2_uniform_rational_ulp.csv,acos,rational,9d5,2,fp32,16459279.38,7.26,1,[-0.99,0.99]
acos_n9d7_s2_uniform_rational_ulp.csv,acos,rational,9d7,2,fp32,1989112.50,7.93,1,[-0.99,0.99]
acos_p11_s1_uniform_any_ulp.csv,acos,poly,11,1,fp32,143354.00,3.30,1,[-0.99,0.99]
acos_p13_s32_uniform_any_ulp.csv,acos,poly,13,32,fp32,96817.00,25.36,1,[-0.99,0.99]
acos_p1_s2_uniform_any_ulp.csv,acos,poly,1,2,fp32,1640781.00,3.01,1,[-0.99,0.99]
acos_p1_s8_uniform_any_ulp.csv,acos,poly,1,8,fp32,445382.25,5.09,1,[-0.99,0.99]
acos_p2_s32_uniform_any_ulp.csv,acos,poly,2,32,fp32,26934.69,17.59,1,[-0.99,0.99]
acos_p3_s16_uniform_any_max.csv,acos,poly,3,16,fp32,28944.50,10.69,1,[-0.99,0.99]
acos_p3_s32_uniform_any_ulp.csv,acos,poly,3,32,fp32,11113.00,17.83,1,[-0.99,0.99]
acos_p4_s16_uniform_any_ulp.csv,acos,poly,4,16,fp32,16687.00,10.99,1,[-0.99,0.99]
acos_p4_s3_uniform_any_ulp.csv,acos,poly,4,3,fp32,119652.00,3.77,1,[-0.99,0.99]
acos_p5_s1_uniform_any_ulp.csv,acos,poly,5,1,fp32,698904.00,3.06,1,[-0.99,0.99]
acos_p5_s8_uniform_any_ulp.csv,acos,poly,5,8,fp32,13199.00,7.07,1,[-0.99,0.99]
acos_p6_s4_uniform_any_ulp.csv,acos,poly,6,4,fp32,22735.00,4.96,1,[-0.99,0.99]
acos_p7_s2_uniform_any_ulp.csv,acos,poly,7,2,fp32,103151.50,3.62,1,[-0.99,0.99]
acos_p8_s1_uniform_any_ulp.csv,acos,poly,8,1,fp32,307309.00,3.14,1,[-0.99,0.99]
acos_p9_s1_uniform_any_ulp.csv,acos,poly,9,1,fp32,232041.00,3.22,1,[-0.99,0.99]
acosh_n10d1_s2_uniform_rational_ulp.csv,acosh,rational,10d1,2,fp32,171256.00,6.38,1,[1.01,100.0]
acosh_n10d3_s2_uniform_rational_ulp.csv,acosh,rational,10d3,2,fp32,2993.00,7.04,1,[1.01,100.0]
acosh_n10d5_s2_uniform_rational_ulp.csv,acosh,rational,10d5,2,fp32,8693.06,7.71,1,[1.01,100.0]
acosh_n11d1_s1_uniform_rational_ulp.csv,acosh,rational,11d1,1,fp32,367073.00,4.27,1,[1.01,100.0]
acosh_n11d3_s1_uniform_rational_ulp.csv,acosh,rational,11d3,1,fp32,22670.78,4.58,1,[1.01,100.0]
acosh_n11d5_s1_uniform_rational_ulp.csv,acosh,rational,11d5,1,fp32,1921.44,4.89,1,[1.01,100.0]
acosh_n12d2_s1_uniform_rational_ulp.csv,acosh,rational,12d2,1,fp32,48070.00,4.58,1,[1.01,100.0]
