activation,precision,config_csv,native_maxulp,native_meanulp,native_us,native_pure,native_ml,ours_maxulp,ours_meanulp,ours_us,ours_pure,ours_ml,range_min,range_max,tiles,status
acosh,bf16,acosh_n8d8_s1_uniform_rational_ulp.csv,1.0,0.32832985697258643,4.73,1.0,18.951132300357568,0.00,0.00,4.42,0.0,51.8585205078125,1.01,100.0,256,pass
atanh,bf16,atanh_n8d8_s1_uniform_rational_ulp.csv,1.0,0.010672181052720452,4.26,4784383.0,90.90797244094489,0.50,0.00,3.04,255.0,99.8046875,-0.999,0.999,256,pass
cosh,bf16,cosh_p16_s1_uniform_any_ulp.csv,0.0001220703125,1.464287320818089e-08,2.97,1.0,97.02513045042885,0.00,0.00,3.01,0.0,97.161865234375,-10.0,10.0,256,pass
erfc,bf16,erfc_n10d9_s3_uniform_rational_max.csv,0.5,0.12933139450920636,5.45,198.0,49.280749471139316,0.00,0.00,12.12,2031832.0,98.03237915039062,-5.0,5.0,256,pass
expm1,bf16,expm1_p7_s1_uniform_any_ulp.csv,0.0,0.0,2.92,0.0,99.82161530417666,0.00,0.00,2.00,0.0,99.822998046875,-1.0,1.0,256,pass
hardsigmoid,bf16,hardsigmoid_p3_s16_uniform_any_ulp.csv,0.5,0.02605148715363162,1.79,1.0,91.9030768308043,0.50,0.00,7.31,1.0,99.27978515625,-10.0,10.0,256,pass
i1,bf16,i1_n9d8_s1_uniform_rational_mae.csv,0.5,3.444003778564145e-05,7.40,128.0,98.79445810591974,0.00,0.00,3.21,128.0,98.8555908203125,-10.0,10.0,256,pass
log,bf16,log_p8_s1_uniform_any_ulp.csv,1.0,0.009352992957746479,2.32,1.0,72.30046948356808,-,-,FAILED,-,-,0.1,10.0,256,pass
logit,bf16,logit_n9d7_s1_uniform_rational_ulp.csv,1.0,0.05663151952214452,5.40,64.0,48.484848484848484,0.00,0.00,4.42,1.9268289123469087e+33,60.584259033203125,0.01,0.99,256,pass
polygamma,bf16,polygamma_p10_s32_uniform_any_ulp.csv,NAT_FAIL,,0,-,-,16.00,1.15,25.98,743.0,37.69378662109375,0.01,10.0,256,native_fail
relu_max,bf16,relu_max_p1_s3_uniform_any_ulp.csv,NAT_FAIL,,0,-,-,0.00,0.00,1.91,0.0,100.0,-10.0,10.0,256,native_fail
sigmoid,bf16,sigmoid_p5_s1_uniform_any_ulp.csv,0.5,0.0032268618662213045,2.89,1.0,99.22329514784381,-,-,FAILED,-,-,-10.0,10.0,256,pass
sinh,bf16,sinh_n13d2_s1_uniform_rational_ulp.csv,0.0,0.0,3.25,0.0,98.37461764529479,0.00,0.00,3.04,0.0,98.44932556152344,-10.0,10.0,256,pass
sqrt,bf16,sqrt_p1_s1_uniform_any_ulp.csv,0.0,0.0,2.28,0.0,78.88521492678319,0.00,0.00,2.16,0.0,78.93600463867188,0.001,100.0,256,pass
tanhshrink,bf16,tanhshrink_p6_s16_uniform_any_ulp.csv,0.125,0.00043425278569625067,3.17,1.7803292276948992e+16,99.32225754213398,0.03,0.00,10.99,1.7803292276948992e+16,99.73678588867188,-10.0,10.0,256,pass
