activation,ttnn_maxulp,ttnn_us
abs,0.0,1.71
asinh,1.0,4.12
celu,0.0,3.61
elu,0.0,3.60
exp,1.0,1.90
hardmish,0.03125,1.77
hardtanh,0.0,1.86
log1p,1.0,2.43
mish,0.25,4.31
relu,0.0,1.72
rsqrt,0.0,2.47
silu,0.25,3.11
softshrink,0.0,1.91
tan,0.125,2.94
acos,0.0,5.74
atan,0.5,3.91
cos,0.0,2.56
erf,0.5,3.63
exp2,0.5,2.52
hardshrink,0.0,1.82
i0,1.0,3.10
lgamma,1.0,13.48
log2,1.0,2.47
multigammaln,127.0,0.13
relu6,0.0,1.84
selu,3.2766905029171264e-37,3.63
sin,0.0,2.35
softsign,1.0,1.96
tanh,0.5,2.29
acosh,1.0,4.73
atanh,1.0,4.26
cosh,0.0001220703125,2.97
erfc,0.5,5.45
expm1,0.0,2.92
hardsigmoid,0.5,1.79
i1,0.5,7.40
log,1.0,2.32
logit,1.0,5.40
sigmoid,0.5,2.89
sinh,0.0,3.25
sqrt,0.0,2.28
tanhshrink,0.125,3.17
asin,1.504632769052528e-36,5.70
cbrt,1.0,2.14
digamma,1.0,6.64
erfinv,1.0,5.96
gelu,0.125,5.78
hardswish,0.25,2.01
identity,1.7540579766176321e-38,0.16
log10,0.5,2.48
sigmoid_accurate,0.5,2.93
softplus,0.125,5.31
swish,0.25,3.10
