activation,precision,config_csv,native_maxulp,native_meanulp,native_us,native_pure,native_ml,ours_maxulp,ours_meanulp,ours_us,ours_pure,ours_ml,range_min,range_max,tiles,status
acos,bf16,acos_n6d5_s1_uniform_rational_ulp.csv,0.0,0.0,5.74,0.0,97.24683154915714,1.00,0.00,3.59,1.0,97.2686767578125,-0.99,0.99,256,pass
atan,bf16,atan_p9_s1_uniform_any_ulp.csv,0.5,0.00020284751990202083,3.90,128.0,99.85915492957747,1.00,0.00,2.12,128.0,99.7802734375,-1.5707963267948966,1.5707963267948966,256,pass
cos,bf16,cos_p6_s1_uniform_any_ulp.csv,0.0,0.0,2.55,0.0,99.90278284117147,0.50,0.00,2.82,1.0,99.90234375,-3.141592653589793,3.141592653589793,256,pass
erf,bf16,erf_n7d6_s1_uniform_rational_ulp.csv,0.5,0.0046431379513284955,3.66,143.0,99.154321357884,0.50,0.00,2.87,1.0,99.69673156738281,-10.0,10.0,256,pass
exp2,bf16,exp2_p4_s1_uniform_any_ulp.csv,0.5,0.00036607313158998887,2.53,1.0,95.64091757480884,0.00,0.00,2.13,0.0,97.56965637207031,-7.0,7.0,256,pass
hardshrink,bf16,hardshrink_p1_s3_uniform_any_mae.csv,0.0,0.0,1.79,0.0,100.0,8.00,0.00,1.91,5.444517870735016e+39,99.9969482421875,-11.0,11.0,256,pass
i0,bf16,i0_n8d4_s1_uniform_rational_ulp.csv,1.0,0.0007628351226533917,3.10,1.0,95.91555209020572,0.06,0.00,3.19,1.0,97.30491638183594,-10.0,10.0,256,pass
lgamma,bf16,lgamma_n12d2_s2_uniform_rational_ulp.csv,1.0,0.0076188568129649855,13.48,164.0,38.73405762871989,0.02,0.00,6.90,9.151423213167634e+34,54.726409912109375,0.001,100.0,256,pass
log2,bf16,log2_p5_s1_uniform_any_ulp.csv,1.0,0.010288292253521127,2.47,1.0,67.01877934272301,79.00,33.54,3.37,1.3759586675117293e+35,14.45159912109375,0.1,10.0,256,pass
multigammaln,bf16,multigammaln_n4d3_s1_uniform_rational_ulp.csv,127.0,24.94581283757716,0.13,4251.0,0.0,0.25,0.00,2.93,1.0,52.234649658203125,1.5,50.0,256,pass
relu6,bf16,relu6_p1_s2_uniform_any_ulp.csv,0.0,0.0,1.83,0.0,100.0,64.00,0.11,1.79,128.0,99.70703125,-10.0,10.0,256,pass
selu,bf16,selu_p9_s2_uniform_any_ulp.csv,3.2766905029171264e-37,4.605599980055535e-40,3.63,223.0,98.83944101241528,0.12,0.00,2.58,1.0,98.883056640625,-10.0,10.0,256,pass
sin,bf16,sin_p5_s1_uniform_any_ulp.csv,0.0,0.0,2.34,0.0,99.8541742617572,0.50,0.00,2.76,1.0,99.8291015625,-3.141592653589793,3.141592653589793,256,pass
softsign,bf16,softsign_n1d1_s2_uniform_rational_ulp.csv,1.0,0.017695384213471537,1.97,1.0,98.1467042523841,0.00,0.00,2.17,0.0,99.70817565917969,-10.0,10.0,256,pass
tanh,bf16,tanh_n4d4_s1_uniform_rational_mae.csv,0.5,0.0021381081897854336,2.28,128.0,99.57691145361136,0.50,0.00,2.38,128.0,99.66812133789062,-5.0,5.0,256,pass
