define,register_file,addr32,shamt,mask,setter,value,function,condition,file,line,target_expression,resolution,invocation
CFG_STATE_ID_StateID,Thread,0,0,0x1,TT_SETC16,cfg_state_id,flip_cfg_state_id,unconditional,tt_llk_blackhole/common/inc/ckernel.h,374,CFG_STATE_ID_StateID_ADDR32,resolved,"TT_SETC16(CFG_STATE_ID_StateID_ADDR32, cfg_state_id)"
TENSIX_TRISC_SYNC_EnSubdividedCfgForUnpacr,Thread,56,1,0x2,TTI_SETC16,bitmask,set_ttsync_enables,unconditional,tt_llk_blackhole/common/inc/ckernel.h,619,TENSIX_TRISC_SYNC_TrackGlobalCfg_ADDR32,resolved,"TTI_SETC16(TENSIX_TRISC_SYNC_TrackGlobalCfg_ADDR32, bitmask)"
TENSIX_TRISC_SYNC_TrackGPR,Thread,56,2,0x4,TTI_SETC16,bitmask,set_ttsync_enables,unconditional,tt_llk_blackhole/common/inc/ckernel.h,619,TENSIX_TRISC_SYNC_TrackGlobalCfg_ADDR32,resolved,"TTI_SETC16(TENSIX_TRISC_SYNC_TrackGlobalCfg_ADDR32, bitmask)"
TENSIX_TRISC_SYNC_TrackGlobalCfg,Thread,56,0,0x1,TTI_SETC16,bitmask,set_ttsync_enables,unconditional,tt_llk_blackhole/common/inc/ckernel.h,619,TENSIX_TRISC_SYNC_TrackGlobalCfg_ADDR32,resolved,"TTI_SETC16(TENSIX_TRISC_SYNC_TrackGlobalCfg_ADDR32, bitmask)"
TENSIX_TRISC_SYNC_TrackTDMARegs,Thread,56,3,0x8,TTI_SETC16,bitmask,set_ttsync_enables,unconditional,tt_llk_blackhole/common/inc/ckernel.h,619,TENSIX_TRISC_SYNC_TrackGlobalCfg_ADDR32,resolved,"TTI_SETC16(TENSIX_TRISC_SYNC_TrackGlobalCfg_ADDR32, bitmask)"
TENSIX_TRISC_SYNC_TrackTensixInstructions,Thread,56,4,0x10,TTI_SETC16,bitmask,set_ttsync_enables,unconditional,tt_llk_blackhole/common/inc/ckernel.h,619,TENSIX_TRISC_SYNC_TrackGlobalCfg_ADDR32,resolved,"TTI_SETC16(TENSIX_TRISC_SYNC_TrackGlobalCfg_ADDR32, bitmask)"
PRNG_SEED_Seed_Val,Tensix,186,0,0xffffffff,cfg[]=,seed,init_prng_seed,unconditional,tt_llk_blackhole/common/inc/ckernel.h,796,PRNG_SEED_Seed_Val_ADDR32,resolved,cfg[PRNG_SEED_Seed_Val_ADDR32] = seed;
ADDR_MOD_AB_SEC0_SrcACR,Thread,12,6,0x40,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC0_SrcAClear,Thread,12,7,0x80,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC0_SrcAIncr,Thread,12,0,0x3f,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC0_SrcBCR,Thread,12,14,0x4000,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC0_SrcBClear,Thread,12,15,0x8000,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC0_SrcBIncr,Thread,12,8,0x3f00,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC1_SrcACR,Thread,13,6,0x40,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC1_SrcAClear,Thread,13,7,0x80,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC1_SrcAIncr,Thread,13,0,0x3f,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC1_SrcBCR,Thread,13,14,0x4000,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC1_SrcBClear,Thread,13,15,0x8000,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC1_SrcBIncr,Thread,13,8,0x3f00,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC2_SrcACR,Thread,14,6,0x40,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC2_SrcAClear,Thread,14,7,0x80,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC2_SrcAIncr,Thread,14,0,0x3f,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC2_SrcBCR,Thread,14,14,0x4000,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC2_SrcBClear,Thread,14,15,0x8000,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC2_SrcBIncr,Thread,14,8,0x3f00,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC3_SrcACR,Thread,15,6,0x40,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC3_SrcAClear,Thread,15,7,0x80,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC3_SrcAIncr,Thread,15,0,0x3f,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC3_SrcBCR,Thread,15,14,0x4000,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC3_SrcBClear,Thread,15,15,0x8000,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC3_SrcBIncr,Thread,15,8,0x3f00,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC4_SrcACR,Thread,16,6,0x40,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC4_SrcAClear,Thread,16,7,0x80,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC4_SrcAIncr,Thread,16,0,0x3f,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
ADDR_MOD_AB_SEC4_SrcBCR,Thread,16,14,0x4000,TTI_SETC16,srca.val() | (srcb.val() << 8),set,unconditional; target-select: addr_mod_src_reg_addr[mod_index],tt_llk_blackhole/common/inc/ckernel_addrmod.h,142,addr_mod_src_reg_addr[mod_index],resolved,"TTI_SETC16(addr_mod_src_reg_addr[mod_index], srca.val() | (srcb.val() << 8))"
