call_id,source_path,line,end_line,api,template_arguments,arguments,source_expression
D001,models/demos/wormhole/bge_m3/tt/custom_ops/encoder_sdpa/kernels/writer.cpp,117,121,calculate_and_prepare_reduce_scaler,"cb_identity_scale_in, ckernel::PoolType::MAX, ckernel::ReduceDim::REDUCE_ROW, dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR",,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
        cb_identity_scale_in,
        ckernel::PoolType::MAX,
        ckernel::ReduceDim::REDUCE_ROW,
        dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR>()"
D002,tests/ttnn/unit_tests/gtests/udm/reduction/interleaved/kernels/dataflow_reduce.cpp,72,76,calculate_and_prepare_reduce_scaler,"cb_scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW, dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR",,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
        cb_scaler,
        ckernel::PoolType::SUM,
        ckernel::ReduceDim::REDUCE_ROW,
        dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR>()"
D003,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/kernels/reader_receiver_unary_sharded_reduce.cpp,73,77,calculate_and_prepare_reduce_scaler,"cb_scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW, dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR",,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
        cb_scaler,
        ckernel::PoolType::SUM,
        ckernel::ReduceDim::REDUCE_ROW,
        dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR>()"
D004,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/kernels/reader_sender_unary_sharded_reduce.cpp,72,76,calculate_and_prepare_reduce_scaler,"cb_scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW, dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR",,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
        cb_scaler,
        ckernel::PoolType::SUM,
        ckernel::ReduceDim::REDUCE_ROW,
        dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR>()"
D005,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/dataflow/dit_rmsnorm_scalar_setup.hpp,44,44,calculate_and_prepare_reduce_scaler,"sum_cb, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW",,"calculate_and_prepare_reduce_scaler<sum_cb, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW>()"
D006,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/dataflow/dit_rmsnorm_scalar_setup.hpp,45,49,calculate_and_prepare_reduce_scaler,"avg_cb, ckernel::PoolType::AVG, ckernel::ReduceDim::REDUCE_ROW, reduce_factor",,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
        avg_cb,
        ckernel::PoolType::AVG,
        ckernel::ReduceDim::REDUCE_ROW,
        reduce_factor>()"
D007,ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/dataflow/rms_writer.cpp,77,81,calculate_and_prepare_reduce_scaler,"cb_in_2, ckernel::PoolType::AVG, ckernel::ReduceDim::REDUCE_ROW, block_w * tt::constants::TILE_WIDTH",,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
        cb_in_2,
        ckernel::PoolType::AVG,
        ckernel::ReduceDim::REDUCE_ROW,
        block_w * tt::constants::TILE_WIDTH>()"
D008,ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/dataflow/rms_writer.cpp,86,87,prepare_reduce_scaler,"cb_in_4, ckernel::PoolType::AVG, ckernel::ReduceDim::REDUCE_ROW",scalar_c_f,"dataflow_kernel_lib::prepare_reduce_scaler<cb_in_4, ckernel::PoolType::AVG, ckernel::ReduceDim::REDUCE_ROW>(
            scalar_c_f)"
D009,ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/dataflow/rms_writer.cpp,91,92,prepare_reduce_scaler,"post_cb_in_4, ckernel::PoolType::AVG, ckernel::ReduceDim::REDUCE_ROW",post_scalar_c_f,"prepare_reduce_scaler<post_cb_in_4, ckernel::PoolType::AVG, ckernel::ReduceDim::REDUCE_ROW>(
                post_scalar_c_f)"
D010,ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/dataflow/reader_attn_res_gather_softmax.cpp,70,70,calculate_and_prepare_reduce_scaler,"cb_id_scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW",,"calculate_and_prepare_reduce_scaler<cb_id_scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW>()"
