source_path,accounting_group,roles,evidence_lines,condition
models/demos/wormhole/bge_m3/tt/custom_ops/encoder_sdpa/kernels/writer.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,117,Migration review candidate
models/demos/wormhole/bge_m3/tt/custom_ops/encoder_sdpa/op.py,Additional host/test builder files,host factory,26,Migration review candidate
tests/ttnn/unit_tests/gtests/udm/reduction/interleaved/kernels/dataflow_reduce.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,72,Migration review candidate
tests/ttnn/unit_tests/gtests/udm/reduction/interleaved/test_udm_reduction_interleaved.cpp,Additional host/test builder files,test program builder,89,Migration review candidate
tests/ttnn/unit_tests/gtests/udm/reduction/sharded/kernels/reader_receiver_unary_sharded_reduce.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,73,Migration review candidate
tests/ttnn/unit_tests/gtests/udm/reduction/sharded/kernels/reader_sender_unary_sharded_reduce.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,72,Migration review candidate
tests/ttnn/unit_tests/gtests/udm/reduction/sharded/test_udm_reduction.cpp,Additional host/test builder files,test program builder,216,Migration review candidate
ttnn/cpp/ttnn/kernel_lib/reduce_helpers_compute.hpp,Conditional: retire explicit compute API,shared compute helper API/backend,646,Only if the explicit compute overload is retired/refactored
ttnn/cpp/ttnn/kernel_lib/reduce_helpers_compute.inl,Conditional: retire explicit compute API,shared compute helper API/backend,979,Only if the explicit compute overload is retired/refactored
ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/dit_fused_distributed_rmsnorm_program_factory.cpp,Original compute/host inventory,host factory,1347,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/compute/dit_rmsnorm_fused_compute.cpp,Original compute/host inventory,compute helper consumer,252; 310; 388; 486,Migration review candidate
ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/dataflow/dit_rmsnorm_fused_worker_writer.cpp,Dataflow entries using a shared header,dataflow kernel calling shared scaler setup,118,Migration review candidate
