case | head | grad2 | grad2@HOP_WRITE_MIN_SAVING=0
7 | 15533 (n=4) [15473, 15617, 14705, 15593] | 13690 (n=4, -11.9%) [13938, 13642, 13738, 13387] | 15530 (n=4, -0.0%) [15134, 15699, 15824, 15361]
hs256 | 29708 (n=4) [29726, 28812, 29691, 30418] | 25318 (n=4, -14.8%) [25197, 25371, 25442, 25264] | 30182 (n=4, +1.6%) [29677, 30194, 31549, 30171]
bs1024 | 15728 (n=4) [15386, 15986, 15471, 16262] | 13547 (n=4, -13.9%) [14839, 13468, 13247, 13626] | 15808 (n=4, +0.5%) [15619, 15450, 15997, 16476]
l1_64 | 22358 (n=4) [22524, 23341, 22192, 21825] | 19846 (n=4, -11.2%) [19560, 19681, 20153, 20012] | 22764 (n=4, +1.8%) [23293, 22236, 23526, 21899]
l1_256 | 10236 (n=4) [9966, 10317, 10379, 10156] | 9522 (n=4, -7.0%) [9886, 8832, 9157, 9907] | 10294 (n=4, +0.6%) [10287, 10027, 10636, 10301]
hs512f | 34110 (n=4) [34628, 33591, 35193, 32951] | 29058 (n=4, -14.8%) [28534, 29246, 28869, 30402] | 33488 (n=4, -1.8%) [33680, 33296, 32969, 34385]
ws2048 | 7766 (n=4) [7872, 7753, 7555, 7779] | 7156 (n=4, -7.9%) [7192, 7165, 6838, 7147] | 7813 (n=4, +0.6%) [7799, 8145, 7827, 7426]
l1_pad_big | 43770 (n=4) [44812, 42727, 47951, 40937] | 41276 (n=4, -5.7%) [42841, 41246, 41306, 39894] | 45501 (n=4, +4.0%) [38473, 49220, 43291, 47711]
l1_lowl1_off | 22372 (n=4) [22053, 23149, 22692, 21921] | 19941 (n=4, -10.9%) [19981, 19546, 19901, 20291] | 22593 (n=4, +1.0%) [21989, 22774, 22412, 22904]
l1_lowl1_on | 22183 (n=4) [22381, 22006, 22360, 21267] | 20241 (n=4, -8.8%) [20139, 20855, 20343, 19697] | 22168 (n=4, -0.1%) [22268, 21614, 22067, 22998]
hs64 | 16931 (n=4) [16438, 16807, 17055, 18223] | 14783 (n=4, -12.7%) [15147, 14415, 14947, 14619] | 16813 (n=4, -0.7%) [16657, 16691, 16982, 16935]
hs1024 | 30292 (n=4) [30301, 30282, 30584, 30024] | 26330 (n=4, -13.1%) [26455, 27170, 26206, 26012] | 29890 (n=4, -1.3%) [30637, 29710, 29369, 30070]
hs_acc | 16038 (n=4) [15300, 16124, 15951, 16533] | 14254 (n=4, -11.1%) [14100, 14578, 13780, 14407] | 16060 (n=4, +0.1%) [16013, 16108, 16308, 14747]
l1_1024 | 39926 (n=4) [39858, 41347, 39094, 39994] | 37838 (n=4, -5.2%) [36736, 38070, 40336, 37607] | 42130 (n=4, +5.5%) [43210, 41049, 39673, 48448]
l1_retile | 10762 (n=4) [10894, 10748, 10742, 10776] | 10826 (n=4, +0.6%) [10854, 10816, 10801, 10837] | 10830 (n=4, +0.6%) [10802, 10788, 10999, 10857]
l1_64_t16 | 21360 (n=4) [21339, 21380, 21596, 21213] | 20546 (n=4, -3.8%) [20265, 20706, 20512, 20581] | 21540 (n=4, +0.8%) [21707, 21152, 21464, 21615]
0 | 23558 (n=4) [22915, 23787, 23478, 23637] | 23498 (n=4, -0.3%) [23562, 22652, 23434, 24073] | 23775 (n=4, +0.9%) [24765, 23349, 23649, 23901]
1 | 13258 (n=4) [13299, 13241, 13080, 13276] | 13344 (n=4, +0.6%) [13256, 13346, 13342, 13401] | 13384 (n=4, +0.9%) [13325, 13442, 13323, 13614]
2 | 46522 (n=4) [45191, 47382, 46771, 46274] | 45516 (n=4, -2.2%) [44784, 45391, 46196, 45641] | 44992 (n=4, -3.3%) [45270, 44714, 46051, 44674]
6 | 14522 (n=4) [13894, 14676, 14557, 14488] | 14130 (n=4, -2.7%) [13618, 14472, 14331, 13929] | 14010 (n=4, -3.5%) [14203, 13409, 14834, 13816]
8 | 10837 (n=4) [10881, 10858, 10703, 10816] | 10966 (n=4, +1.2%) [10923, 11009, 11030, 10883] | 10878 (n=4, +0.4%) [10886, 10821, 10870, 10947]
