Found 81297 values :

Input: 1.5684890350262007e+38, Calculated: 1.6415965747943711e+38, Golden: 1.6482427147732957e+38, ATOL: 6.64613997892458e+35
Input: 1.5618428950472762e+38, Calculated: 1.6349504348154465e+38, Golden: 1.6415965747943711e+38, ATOL: 6.64613997892458e+35
Input: 1.5551967550683516e+38, Calculated: 1.628304294836522e+38, Golden: 1.6349504348154465e+38, ATOL: 6.64613997892458e+35
Input: 1.548550615089427e+38, Calculated: 1.6216581548575974e+38, Golden: 1.628304294836522e+38, ATOL: 6.64613997892458e+35
Input: 1.5419044751105024e+38, Calculated: 1.6150120148786728e+38, Golden: 1.6216581548575974e+38, ATOL: 6.64613997892458e+35
Input: 1.5352583351315778e+38, Calculated: 1.6083658748997482e+38, Golden: 1.6150120148786728e+38, ATOL: 6.64613997892458e+35
Input: 1.5286121951526533e+38, Calculated: 1.6017197349208236e+38, Golden: 1.6083658748997482e+38, ATOL: 6.64613997892458e+35
Input: 1.5219660551737287e+38, Calculated: 1.595073594941899e+38, Golden: 1.6017197349208236e+38, ATOL: 6.64613997892458e+35
Input: 1.5153199151948041e+38, Calculated: 1.5884274549629745e+38, Golden: 1.595073594941899e+38, ATOL: 6.64613997892458e+35
Input: 1.5086737752158795e+38, Calculated: 1.5817813149840499e+38, Golden: 1.5884274549629745e+38, ATOL: 6.64613997892458e+35
Input: 1.4355662354477091e+38, Calculated: 1.502027635236955e+38, Golden: 1.5086737752158795e+38, ATOL: 6.64613997892458e+35
Input: 1.4289200954687846e+38, Calculated: 1.4953814952580304e+38, Golden: 1.502027635236955e+38, ATOL: 6.64613997892458e+35
Input: 1.42227395548986e+38, Calculated: 1.4887353552791058e+38, Golden: 1.4953814952580304e+38, ATOL: 6.64613997892458e+35
Input: 1.4156278155109354e+38, Calculated: 1.4820892153001812e+38, Golden: 1.4887353552791058e+38, ATOL: 6.64613997892458e+35
Input: 1.4089816755320108e+38, Calculated: 1.4754430753212566e+38, Golden: 1.4820892153001812e+38, ATOL: 6.64613997892458e+35
Input: 1.4023355355530862e+38, Calculated: 1.468796935342332e+38, Golden: 1.4754430753212566e+38, ATOL: 6.64613997892458e+35
Input: 1.3956893955741617e+38, Calculated: 1.4621507953634075e+38, Golden: 1.468796935342332e+38, ATOL: 6.64613997892458e+35
Input: 1.389043255595237e+38, Calculated: 1.4555046553844829e+38, Golden: 1.4621507953634075e+38, ATOL: 6.64613997892458e+35
Input: 1.3823971156163125e+38, Calculated: 1.4488585154055583e+38, Golden: 1.4555046553844829e+38, ATOL: 6.64613997892458e+35
Input: 1.3092895758481421e+38, Calculated: 1.3691048356584633e+38, Golden: 1.375750975637388e+38, ATOL: 6.64613997892458e+35
Input: 1.3026434358692176e+38, Calculated: 1.3624586956795388e+38, Golden: 1.3691048356584633e+38, ATOL: 6.64613997892458e+35
Input: 1.295997295890293e+38, Calculated: 1.3558125557006142e+38, Golden: 1.3624586956795388e+38, ATOL: 6.64613997892458e+35
Input: 1.2893511559113684e+38, Calculated: 1.3491664157216896e+38, Golden: 1.3558125557006142e+38, ATOL: 6.64613997892458e+35
Input: 1.2827050159324438e+38, Calculated: 1.342520275742765e+38, Golden: 1.3491664157216896e+38, ATOL: 6.64613997892458e+35
Input: 1.2760588759535192e+38, Calculated: 1.3358741357638405e+38, Golden: 1.342520275742765e+38, ATOL: 6.64613997892458e+35
Input: 1.2694127359745947e+38, Calculated: 1.3292279957849159e+38, Golden: 1.3358741357638405e+38, ATOL: 6.64613997892458e+35
Input: 1.26276659599567e+38, Calculated: 1.3225818558059913e+38, Golden: 1.3292279957849159e+38, ATOL: 6.64613997892458e+35
Input: 1.2561204560167455e+38, Calculated: 1.3159357158270667e+38, Golden: 1.3225818558059913e+38, ATOL: 6.64613997892458e+35
Input: 1.249474316037821e+38, Calculated: 1.3092895758481421e+38, Golden: 1.3159357158270667e+38, ATOL: 6.64613997892458e+35
Input: 1.1763667762696505e+38, Calculated: 1.2295358961010472e+38, Golden: 1.2361820360799718e+38, ATOL: 6.64613997892458e+35
Input: 1.169720636290726e+38, Calculated: 1.2228897561221226e+38, Golden: 1.2295358961010472e+38, ATOL: 6.64613997892458e+35
Input: 1.1630744963118014e+38, Calculated: 1.216243616143198e+38, Golden: 1.2228897561221226e+38, ATOL: 6.64613997892458e+35
Input: 1.1564283563328768e+38, Calculated: 1.2095974761642734e+38, Golden: 1.216243616143198e+38, ATOL: 6.64613997892458e+35
Input: 1.1497822163539522e+38, Calculated: 1.2029513361853489e+38, Golden: 1.2095974761642734e+38, ATOL: 6.64613997892458e+35
Input: 1.1431360763750277e+38, Calculated: 1.1963051962064243e+38, Golden: 1.2029513361853489e+38, ATOL: 6.64613997892458e+35
Input: 1.136489936396103e+38, Calculated: 1.1896590562274997e+38, Golden: 1.1963051962064243e+38, ATOL: 6.64613997892458e+35
Input: 1.1298437964171785e+38, Calculated: 1.1830129162485751e+38, Golden: 1.1896590562274997e+38, ATOL: 6.64613997892458e+35
Input: 1.123197656438254e+38, Calculated: 1.1763667762696505e+38, Golden: 1.1830129162485751e+38, ATOL: 6.64613997892458e+35
Input: 1.1165515164593293e+38, Calculated: 1.169720636290726e+38, Golden: 1.1763667762696505e+38, ATOL: 6.64613997892458e+35
Input: 1.043443976691159e+38, Calculated: 1.089966956543631e+38, Golden: 1.0966130965225556e+38, ATOL: 6.64613997892458e+35
Input: 1.0367978367122344e+38, Calculated: 1.0833208165647064e+38, Golden: 1.089966956543631e+38, ATOL: 6.64613997892458e+35
Input: 1.0301516967333098e+38, Calculated: 1.0766746765857819e+38, Golden: 1.0833208165647064e+38, ATOL: 6.64613997892458e+35
Input: 1.0235055567543852e+38, Calculated: 1.0700285366068573e+38, Golden: 1.0766746765857819e+38, ATOL: 6.64613997892458e+35
Input: 1.0168594167754606e+38, Calculated: 1.0633823966279327e+38, Golden: 1.0700285366068573e+38, ATOL: 6.64613997892458e+35
Input: 1.010213276796536e+38, Calculated: 1.0567362566490081e+38, Golden: 1.0633823966279327e+38, ATOL: 6.64613997892458e+35
Input: 1.0035671368176115e+38, Calculated: 1.0500901166700835e+38, Golden: 1.0567362566490081e+38, ATOL: 6.64613997892458e+35
